symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,earnings_passed
NWS,Communication Services,News Corp (Class B),2023-12-25,25.28,11.1,23.24,31.03,24.1,1.0,2,2,1,1.8,71.43,100.0,False,True,22.54,7.07,1.088,False,25.55,-1.08,3.67,11.63,13.0,6.0,888038.0,815933.0,2.167,859600.0,781910.0,912940.0,0.942,100.0,1,1,3,1.4,1,,True
NWSA,Communication Services,News Corp (Class A),2023-12-25,24.09,10.84,22.38,26.5,21.55,1.0,4,3,2,3.3,71.43,100.0,False,True,21.58,7.15,0.994,False,24.35,-1.05,3.59,11.39,13.0,7.0,2268084.0,2280814.0,1.857,2162500.0,2164610.0,2292180.0,0.943,100.0,2,1,2,1.6,2,,True
META,Communication Services,Meta Platforms,2023-12-25,350.88,8.97,17.9,23.34,18.39,1.0,5,5,3,4.6,21.96,2.51,False,True,325.42,8.74,0.994,False,358.75,-2.19,-0.04,8.2,11.0,9.0,16684218.0,16788833.0,1.222,14987100.0,16182490.0,17077393.0,0.878,90.63,3,9,5,5.8,5,吃老本,True
NFLX,Communication Services,Netflix,2023-12-25,48.69,4.54,28.94,10.53,13.64,1.0,10,1,7,6.7,6.74,15.36,False,True,45.42,6.88,1.087,False,50.09,-2.8,-0.96,2.72,12.0,8.0,41542583.0,38214875.0,1.5,27406000.0,37170200.0,39905066.0,0.687,92.77,4,8,14,7.6,6,,True
TMUS,Communication Services,T-Mobile US,2023-12-25,153.99,5.31,14.98,15.93,13.04,1.0,9,8,6,8.1,5.69,18.14,False,True,143.66,4.49,0.703,False,154.82,-0.53,3.49,6.57,15.0,5.0,4019406.0,5717640.0,3.0,3867900.0,4115190.0,4407813.0,0.878,100.0,5,1,5,3.4,3,,True
GOOGL,Communication Services,Alphabet Inc. (Class A),2023-12-25,138.46,5.94,6.75,16.7,11.52,1.0,7,15,4,8.8,7.05,7.29,False,True,132.42,8.29,1.236,False,141.43,-2.1,-0.52,5.4,10.0,10.0,34274660.0,27724900.0,1.0,18733000.0,28289720.0,29610353.0,0.633,89.67,6,11,16,10.0,8,,True
GOOG,Communication Services,Alphabet Inc. (Class C),2023-12-25,139.7,5.71,6.89,16.5,11.4,1.0,8,14,5,9.2,7.05,7.29,False,True,133.79,8.08,1.265,False,142.69,-2.09,-0.61,5.23,10.0,10.0,26931620.0,21282970.0,1.0,14881000.0,23060910.0,23983046.0,0.62,90.04,7,10,18,10.4,10,,True
ECHO,Communication Services,EchoStar,2023-12-25,16.57,47.16,-1.07,-4.44,9.3,0.333,1,18,16,9.1,514.94,-35.67,False,True,12.43,26.96,2.569,False,24.8,-33.19,17.85,58.26,14.0,5.0,2386971.0,929080.0,2.8,17427700.0,2729080.0,2140620.0,8.141,100.0,8,1,1,3.8,4,剛爆發,True
TTWO,Communication Services,Take-Two Interactive,2023-12-25,160.95,1.97,14.64,9.37,8.84,1.0,13,9,8,10.8,37.58,-13.66,False,True,151.08,3.97,0.682,False,164.85,-2.37,0.35,1.74,9.0,11.0,2101033.0,3080327.0,0.818,916600.0,2628480.0,2706746.0,0.339,75.39,9,20,21,15.8,18,吃老本,True
T,Communication Services,AT&T,2023-12-25,14.6,0.12,13.85,9.13,8.06,1.0,16,10,9,12.8,3.09,4.56,False,True,14.0,3.14,0.871,False,17.81,-18.01,1.76,1.27,12.0,8.0,37850425.0,43466950.0,1.5,33285400.0,34102770.0,38448226.0,0.866,89.2,10,12,7,10.2,9,,True
