symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
NWS,Communication Services,News Corp (Class B),2023-12-25,25.28,11.1,23.24,31.03,24.1,1.0,2,2,1,1.8,71.43,100.0,False,True,22.54,7.07,1.088,False,25.55,-1.08,3.67,11.63,13.0,6.0,888038.0,815933.0,2.167,859600.0,781910.0,912940.0,0.942,100.0,1,1,3,1.4,1,
NWSA,Communication Services,News Corp (Class A),2023-12-25,24.09,10.84,22.38,26.5,21.55,1.0,4,3,2,3.3,71.43,100.0,False,True,21.58,7.15,0.994,False,24.35,-1.05,3.59,11.39,13.0,7.0,2268084.0,2280814.0,1.857,2162500.0,2164610.0,2292180.0,0.943,100.0,2,1,2,1.6,2,
META,Communication Services,Meta Platforms,2023-12-25,350.88,8.97,17.9,23.34,18.39,1.0,5,5,3,4.6,21.96,2.51,False,True,325.42,8.74,0.994,False,358.75,-2.19,-0.04,8.2,11.0,9.0,16684218.0,16788833.0,1.222,14987100.0,16182490.0,17077393.0,0.878,90.63,3,9,5,5.8,5,吃老本
CVNA,Consumer Discretionary,Carvana,2023-12-25,10.59,50.4,26.11,104.24,71.25,1.0,1,11,1,4.0,15.39,8.36,False,True,7.54,23.64,1.32,False,12.52,-15.42,-9.05,69.03,12.0,8.0,67257875.0,50940437.0,1.5,29720500.0,58581050.0,61751366.0,0.481,100.0,1,1,25,5.8,3,
DHI,Consumer Discretionary,D. R. Horton,2023-12-25,148.09,16.14,41.75,25.44,27.19,1.0,5,2,9,4.9,13.2,37.98,False,True,124.53,5.11,0.811,False,150.69,-1.72,1.1,19.04,14.0,5.0,2807457.0,3461100.0,2.8,1479600.0,2473170.0,2942293.0,0.503,100.0,6,1,23,7.4,9,
RCL,Consumer Discretionary,Royal Caribbean Group,2023-12-25,125.93,16.94,40.54,24.82,26.78,1.0,4,3,11,5.1,13.44,14.85,False,True,102.62,8.14,1.379,False,127.37,-1.13,1.86,20.5,15.0,5.0,2834673.0,2056120.0,3.0,2006300.0,2385640.0,2490800.0,0.805,100.0,7,1,7,4.6,1,剛爆發
COST,Consumer Staples,Costco,2023-12-25,649.97,13.22,19.71,25.86,21.16,1.0,2,4,1,2.4,4.83,1.76,False,True,577.69,6.44,1.032,False,658.34,-1.27,1.49,13.89,14.0,6.0,2753271.0,2667616.0,2.333,1947500.0,3288630.0,3011880.0,0.647,100.0,1,1,14,3.6,1,
TGT,Consumer Staples,Target Corporation,2023-12-25,129.91,5.67,30.14,10.03,13.97,1.0,6,2,3,4.2,41.91,26.85,False,True,114.17,4.87,0.833,False,160.55,-19.08,2.19,6.43,12.0,7.0,3449725.0,4143042.0,1.714,2517400.0,3225500.0,3348513.0,0.752,95.02,2,13,7,7.4,6,吃老本
TSN,Consumer Staples,Tyson Foods,2023-12-25,49.39,11.51,7.58,7.36,8.46,1.0,4,11,5,6.3,47.13,-42.99,False,True,44.54,5.99,0.772,False,59.17,-16.53,4.05,14.75,14.0,6.0,2581450.0,3344483.0,2.333,2000800.0,2531300.0,2690573.0,0.744,100.0,4,1,8,3.6,1,
FANG,Energy,Diamondback Energy,2023-12-25,142.73,0.53,2.3,21.29,11.35,1.0,8,5,3,6.1,10.03,-5.38,False,False,142.81,5.84,0.852,False,154.41,-7.56,-0.76,0.43,10.0,10.0,1727960.0,2027050.0,1.0,2267700.0,1704350.0,1828700.0,1.24,79.88,4,13,1,7.0,3,吃老本
VLO,Energy,Valero Energy,2023-12-25,120.68,2.86,-7.52,12.62,5.15,0.667,2,13,8,6.5,2.26,6.29,False,True,117.11,7.55,0.863,False,140.15,-13.89,-1.46,3.7,10.0,10.0,3104800.0,3599620.0,1.0,1964000.0,3354270.0,3447160.0,0.57,81.73,7,9,14,9.2,6,
COP,Energy,ConocoPhillips,2023-12-25,107.49,0.73,-2.63,13.65,6.35,0.667,7,8,7,7.3,3.3,-6.04,False,True,107.38,5.16,0.818,False,117.35,-8.4,-0.65,0.43,11.0,9.0,6484590.0,7928566.0,1.222,3643600.0,7414600.0,7603953.0,0.479,82.65,6,8,18,9.2,6,
COIN,Financials,Coinbase,2023-12-25,173.92,30.02,131.65,143.07,111.95,1.0,2,1,1,1.5,98.13,44.98,False,True,117.88,25.74,0.938,False,187.39,-7.19,3.51,39.45,14.0,6.0,13616957.0,14519950.0,2.333,19724400.0,14472070.0,13454546.0,1.466,100.0,1,1,1,1.0,1,
FITB,Financials,Fifth Third Bancorp,2023-12-25,31.56,13.92,37.54,34.82,30.27,1.0,10,3,7,7.3,11.51,-1.25,False,True,25.9,4.63,0.8,False,33.16,-4.82,1.27,20.34,14.0,6.0,5955478.0,7442283.0,2.333,4063100.0,6164410.0,6519026.0,0.623,100.0,8,1,12,6.0,7,剛爆發
COF,Financials,Capital One,2023-12-25,126.34,15.09,35.89,21.22,23.36,1.0,8,5,20,9.5,37.56,8.75,False,True,106.92,3.84,1.389,False,127.67,-1.04,1.14,17.43,17.0,3.0,3076147.0,2215133.0,5.667,1385000.0,2212000.0,2813080.0,0.492,100.0,12,1,20,9.2,12,剛爆發
CRL,Health Care,Charles River Laboratories,2023-12-25,236.4,17.22,20.62,12.44,15.68,1.0,5,6,10,6.3,14.86,1.97,False,True,197.87,5.83,1.254,False,262.0,-9.77,0.29,19.95,14.0,6.0,477264.0,380550.0,2.333,226500.0,416090.0,478780.0,0.473,100.0,6,1,26,8.0,6,
WAT,Health Care,Waters Corporation,2023-12-25,329.23,13.98,20.06,23.52,20.27,1.0,11,7,3,8.2,11.29,8.06,False,True,279.95,6.85,0.782,False,350.97,-6.19,0.13,17.33,13.0,7.0,404461.0,517371.0,1.857,282900.0,419540.0,457180.0,0.619,100.0,1,1,16,4.0,1,
IDXX,Health Care,Idexx Laboratories,2023-12-25,555.05,15.01,26.94,10.52,15.75,1.0,10,3,12,8.3,6.73,8.15,False,True,478.53,5.2,0.797,False,568.3,-2.33,0.44,19.16,14.0,6.0,490278.0,615116.0,2.333,203200.0,412840.0,482660.0,0.421,100.0,5,1,30,8.4,8,
BLDR,Industrials,Builders FirstSource,2023-12-25,166.94,19.86,34.1,22.75,24.86,1.0,1,3,11,3.6,8.19,50.24,False,True,136.5,7.12,0.296,False,171.03,-2.39,1.41,24.48,14.0,6.0,1721842.0,5808650.0,2.333,850300.0,3955500.0,3265420.0,0.26,100.0,6,1,31,9.0,9,
URI,Industrials,United Rentals,2023-12-25,560.79,14.27,29.42,29.58,25.71,1.0,4,6,5,4.8,5.02,10.46,False,True,469.74,5.04,1.135,False,572.6,-2.06,0.43,20.46,12.0,8.0,766233.0,675087.0,1.5,300500.0,674820.0,712433.0,0.422,100.0,5,1,26,7.6,5,
AXON,Industrials,Axon Enterprise,2023-12-25,258.33,11.58,29.82,32.4,26.55,1.0,6,5,4,5.3,34.78,78.63,False,True,229.63,4.09,1.264,False,260.69,-0.91,0.58,12.38,14.0,6.0,440085.0,348083.0,2.333,330600.0,389400.0,393566.0,0.84,100.0,3,1,2,2.0,1,
AMD,Information Technology,Advanced Micro Devices,2023-12-25,147.41,21.44,43.37,29.41,30.91,1.0,1,2,14,3.9,3.59,1.05,False,True,121.11,11.05,1.399,False,151.05,-2.41,5.36,21.67,12.0,8.0,72257358.0,51638400.0,1.5,62079200.0,53846950.0,65661560.0,0.945,100.0,6,1,1,3.0,2,
INTC,Information Technology,Intel,2023-12-25,49.59,14.88,41.82,51.31,39.83,1.0,7,4,3,5.3,87.04,546.43,False,True,41.21,12.22,1.352,False,50.6,-2.01,6.73,12.42,11.0,9.0,46986600.0,34744277.0,1.222,29288700.0,41384250.0,42815653.0,0.684,100.0,2,1,11,3.4,3,
AVGO,Information Technology,Broadcom,2023-12-25,108.75,20.58,35.01,29.98,28.89,1.0,2,6,13,5.4,0.94,1.03,False,True,94.07,5.4,2.358,False,112.09,-2.97,-0.98,21.13,11.0,9.0,62456818.0,26486666.0,1.222,20558000.0,36567600.0,51025866.0,0.403,100.0,8,1,31,9.8,8,剛爆發
SHW,Materials,Sherwin-Williams,2023-12-25,305.11,10.47,22.57,18.0,17.26,1.0,2,3,5,2.9,15.05,22.31,False,True,267.25,3.45,1.344,False,307.3,-0.71,1.62,11.87,13.0,7.0,1695769.0,1261757.0,1.857,682000.0,1231930.0,1388740.0,0.491,100.0,3,1,18,5.2,3,
MLM,Materials,Martin Marietta Materials,2023-12-25,492.08,6.75,21.74,8.41,11.33,1.0,5,4,11,5.9,15.0,15.29,False,True,451.04,3.41,0.596,False,494.05,-0.4,1.31,7.39,15.0,5.0,260886.0,437380.0,3.0,191300.0,278830.0,296020.0,0.646,100.0,6,1,6,4.0,1,
FCX,Materials,Freeport-McMoRan,2023-12-25,41.11,8.49,14.62,7.25,9.4,1.0,4,9,12,7.1,15.14,-1.44,False,True,35.83,5.84,1.165,False,44.62,-7.86,0.81,14.07,10.0,10.0,13797950.0,11839820.0,1.0,6509700.0,10245210.0,12595033.0,0.517,94.16,7,12,16,10.8,7,
EXR,Real Estate,Extra Space Storage,2023-12-25,143.86,20.66,33.35,10.19,18.6,1.0,1,3,13,4.0,30.76,-0.29,False,True,115.1,7.37,0.858,False,146.19,-1.6,2.71,24.55,14.0,6.0,1224650.0,1426600.0,2.333,1018100.0,1253810.0,1356366.0,0.751,100.0,5,1,9,4.2,3,
CBRE,Real Estate,CBRE Group,2023-12-25,93.09,14.35,26.04,15.34,17.77,1.0,3,7,6,4.8,8.16,7.76,False,True,79.2,5.36,0.996,False,94.27,-1.25,1.73,17.9,15.0,5.0,1696006.0,1702820.0,3.0,1223200.0,1647790.0,1715606.0,0.713,100.0,6,1,16,6.0,5,
HST,Real Estate,Host Hotels & Resorts,2023-12-25,16.67,12.38,23.92,19.67,18.91,1.0,7,8,5,6.9,45.45,-13.43,False,True,14.62,6.43,0.978,False,16.96,-1.72,1.76,13.99,13.0,7.0,7562761.0,7733342.0,1.857,6219200.0,7542810.0,8127300.0,0.765,100.0,4,1,7,3.4,2,
