sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLC,通訊服務,Communication Services,2025-09-03,111.66,106.39,100.39,98.75,4.95,11.22,13.07,10.58,1.0,5840340,8269300,5777140,1.431,1.86,5.35,12,8,5866475,5680987,1.033,1.5,94.52,2713.6,19767.8,0.137,0.567,2.43,4.33,68.73,100.0,111.66,105.94,1,2,2,2,1,2,4,1.5,1,1.8,1,,100.0,17,,100.0,18,,100.0,20,,,,,,,,,-2.25,12.83,leading,領先,資金持續流入、動能未退,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLF,金融,Financials,2025-09-03,52.68,51.16,50.03,50.0,2.98,5.3,5.38,4.76,1.0,34767210,36420100,34736860,1.048,-0.32,3.48,13,7,35168523,35360828,0.995,1.857,97.22,1882.3,56336.5,0.033,0.533,1.18,1.74,57.37,81.3,53.16,50.58,6,6,6,5,6,1,5,6.0,7,3.6,2,,11.8,17,,11.1,18,,15.0,20,,,,,,,,,9.67,-4.91,weakening,減弱,高位但動能見頂,16,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLY,非必需消費,Consumer Discretionary,2025-09-03,114.58,110.87,106.1,104.88,3.35,7.99,9.24,7.46,1.0,11830160,13839000,11505626,1.203,-1.18,5.5,11,9,10883800,11811711,0.921,1.222,87.28,-458.0,40404.0,-0.011,0.533,0.76,3.14,57.28,70.2,116.17,110.83,5,4,4,3,4,6,7,4.5,3,4.4,3,,100.0,17,,100.0,18,,95.0,20,,,,,,,,,-1.31,8.77,leading,領先,資金持續流入、動能未退,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLK,資訊科技,Information Technology,2025-09-03,129.99,130.84,115.68,110.34,-0.65,12.38,17.81,11.84,0.667,14900460,15636600,14763546,1.059,-0.64,0.47,11,9,12115581,15584644,0.777,1.222,81.97,3882.2,52613.0,0.074,0.6,-0.91,0.5,49.12,26.0,133.45,128.78,8,1,1,1,5,8,3,4.5,3,4.6,4,吃老本,11.8,17,,16.7,18,,25.0,20,,,,,,,,,15.08,-3.24,weakening,減弱,高位但動能見頂,19,neutral,➡️,中性,無明顯訊號
XLE,能源,Energy,2025-09-03,42.91,41.08,39.73,42.77,4.45,8.0,0.33,3.28,1.0,26395120,36018200,26261133,1.372,0.29,3.48,12,7,27635933,30338142,0.911,1.714,93.86,4877.3,35451.0,0.138,0.567,1.99,2.07,56.44,67.6,43.89,40.85,3,3,8,8,3,3,1,4.0,2,5.0,5,,5.9,17,,11.1,18,,15.0,20,,,,,,,,,14.28,-11.0,lagging,落後,資金持續流出,20,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLI,工業,Industrials,2025-09-03,147.89,149.01,140.4,132.01,-0.75,5.34,12.03,7.16,0.667,8400840,12036200,8765660,1.373,-2.2,-0.67,9,11,9104088,9060581,1.005,0.818,78.57,-6732.7,47015.7,-0.143,0.433,-1.12,-0.58,43.81,0.0,151.47,147.89,9,5,3,4,2,10,11,6.6,8,6.0,6,吃老本,82.4,17,,77.8,18,,80.0,20,,,,,,,,,-1.94,9.1,leading,領先,資金持續流入、動能未退,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLB,材料,Materials,2025-09-03,44.67,42.98,42.43,42.79,3.93,5.28,4.39,4.49,1.0,10786580,10157600,11892133,0.854,-1.03,2.8,11,7,11872490,12349742,0.961,1.571,91.66,-661.4,18733.2,-0.035,0.5,0.67,0.96,52.74,72.4,45.31,42.98,4,7,7,7,11,5,8,5.5,5,7.0,7,,82.4,17,,83.3,18,,85.0,20,,,,,,,,,0.72,3.77,improving,改善,落後股翻轉候選,4,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2025-09-03,134.56,128.27,129.82,143.45,4.9,3.65,-6.2,-0.96,0.667,11485740,12586000,12364740,1.018,-0.1,3.33,12,8,13697200,13163750,1.041,1.5,92.67,4012.7,54833.2,0.073,0.533,1.47,1.81,56.24,86.2,135.8,126.8,2,8,11,10,7,4,2,5.6,6,7.0,7,剛爆發,0.0,16,,5.9,17,,15.8,19,,,,,,,,,9.96,-10.92,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLRE,房地產,Real Estate,2025-09-03,40.1,40.05,40.04,40.79,0.12,0.16,-1.7,-0.78,0.667,5795280,5668000,5859580,0.967,-1.26,-0.72,9,11,6164733,6156945,1.001,0.818,78.86,-1009.7,7961.6,-0.127,0.433,-0.33,-0.61,46.4,38.6,40.93,39.58,7,10,10,9,8,9,10,8.5,9,8.8,9,,2.9,17,,2.8,18,,7.5,20,,,,,,,,,1.02,-1.8,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLU,公用事業,Utilities,2025-09-03,40.78,41.65,39.7,37.43,-2.09,2.72,8.95,4.63,0.667,18017160,17268000,18895880,0.914,-1.68,-2.96,8,12,19851250,19341866,1.026,0.667,75.51,-934.8,27055.6,-0.035,0.467,-1.96,-0.33,41.04,0.0,42.1,40.78,11,9,5,6,10,11,9,9.2,10,8.8,9,,88.2,17,,83.3,18,,85.0,20,,,,,,,,,-5.25,9.88,leading,領先,資金持續流入、動能未退,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLP,必需消費,Consumer Staples,2025-09-03,78.42,79.42,80.09,78.82,-1.26,-2.1,-0.51,-1.09,0.0,17099810,14723100,15922260,0.925,0.07,0.15,9,9,15591288,15546600,1.003,1.0,82.67,1082.4,37459.6,0.029,0.467,-1.44,-0.87,43.09,11.1,80.97,78.09,10,11,9,11,9,7,6,10.1,11,9.0,11,,6.2,16,,5.9,17,,10.5,19,,,,,,,,,-0.45,-0.64,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
