symbol,name,sector,as_of_date,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a
MMM,3M,Industrials,2026-02-27,8.42,-2.06,5.56,4.37,0.667,31,71,55,47.8
AOS,A. O. Smith,Industrials,2026-02-27,6.14,22.29,7.07,10.64,1.0,44,33,52,42.3
ABT,Abbott Laboratories,Health Care,2026-02-27,6.45,-8.06,-11.41,-6.11,0.333,21,47,52,35.0
ABBV,AbbVie,Health Care,2026-02-27,4.07,1.93,11.89,7.44,1.0,30,34,24,30.0
ACN,Accenture,Information Technology,2026-02-27,-20.83,-14.33,-19.48,-18.53,0.0,68,51,52,59.7
ADBE,Adobe Inc.,Information Technology,2026-02-27,-10.52,-17.67,-27.53,-20.81,0.0,58,57,60,58.1
AMD,Advanced Micro Devices,Information Technology,2026-02-27,-15.43,-6.9,19.34,4.09,0.333,64,41,24,49.1
AES,AES Corporation,Utilities,2026-02-27,17.95,25.97,31.26,26.61,1.0,3,2,2,2.5
AFL,Aflac,Financials,2026-02-27,2.33,2.85,5.22,3.91,1.0,17,37,29,25.4
A,Agilent Technologies,Health Care,2026-02-27,-9.32,-20.84,0.17,-7.45,0.333,52,55,44,51.3
APD,Air Products,Materials,2026-02-27,1.16,8.22,-6.61,-0.96,0.667,23,22,23,22.7
ABNB,Airbnb,Consumer Discretionary,2026-02-27,4.44,18.09,3.99,7.63,1.0,21,14,19,18.5
AKAM,Akamai Technologies,Information Technology,2026-02-27,1.28,11.38,26.73,16.53,1.0,27,26,19,25.1
ALB,Albemarle Corporation,Materials,2026-02-27,4.71,54.65,121.52,75.6,1.0,17,2,1,9.3
ARE,Alexandria Real Estate Equities,Real Estate,2026-02-27,-1.1,7.06,-31.16,-14.09,0.333,25,16,29,23.1
ALGN,Align Technology,Health Care,2026-02-27,16.6,32.35,27.1,25.79,1.0,4,3,16,6.1
ALLE,Allegion,Industrials,2026-02-27,-2.56,-0.7,-6.44,-4.04,0.0,65,70,66,66.7
LNT,Alliant Energy,Utilities,2026-02-27,9.76,6.6,9.72,8.95,1.0,17,22,20,19.1
ALL,Allstate,Financials,2026-02-27,7.8,1.49,5.39,5.02,1.0,5,42,28,20.7
GOOGL,Alphabet Inc. (Class A),Communication Services,2026-02-27,-7.76,-2.08,51.51,23.29,0.333,15,13,3,12.0
GOOG,Alphabet Inc. (Class C),Communication Services,2026-02-27,-8.01,-2.15,50.89,22.91,0.333,16,14,4,13.0
MO,Altria,Consumer Staples,2026-02-27,11.37,22.63,5.57,11.29,1.0,7,12,21,11.3
AMZN,Amazon,Consumer Discretionary,2026-02-27,-12.24,-7.19,-8.23,-8.98,0.0,42,42,33,40.2
AMCR,Amcor,Materials,2026-02-27,10.88,15.86,12.66,13.02,1.0,9,18,10,11.9
AEE,Ameren,Utilities,2026-02-27,9.68,8.88,12.71,11.0,1.0,18,15,15,16.5
AEP,American Electric Power,Utilities,2026-02-27,12.6,10.52,19.23,15.39,1.0,7,9,7,7.6
AXP,American Express,Financials,2026-02-27,-12.29,-13.02,-2.75,-7.7,0.0,68,67,43,62.7
AIG,American International Group,Financials,2026-02-27,7.49,7.72,-2.39,2.61,0.667,6,25,41,18.7
AMT,American Tower,Real Estate,2026-02-27,7.02,7.88,-7.76,-0.16,0.667,14,15,23,16.1
AWK,American Water Works,Utilities,2026-02-27,6.06,4.14,-5.72,-0.31,0.667,29,28,30,28.9
AMP,Ameriprise Financial,Financials,2026-02-27,-10.56,5.71,-8.47,-5.45,0.333,67,29,51,52.4
AME,Ametek,Industrials,2026-02-27,6.8,22.73,28.37,21.57,1.0,39,32,23,33.7
