symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp
TTWO,Communication Services,Take-Two Interactive,2026-07-27,242.92,-4.73,12.45,10.27,7.06,0.667,17,1,2,9.2,43.47,47.51,True,234.13,9.35,0.939,False
LYV,Communication Services,Live Nation Entertainment,2026-07-27,174.13,-6.68,10.03,19.72,10.7,0.667,20,2,1,10.8,82.89,-485.68,False,174.48,9.04,0.728,False
NWSA,Communication Services,News Corp (Class A),2026-07-27,27.56,3.45,5.03,2.39,3.31,1.0,5,3,8,5.0,5.46,6.92,True,26.65,10.03,1.009,False
BBY,Consumer Discretionary,Best Buy,2026-07-27,86.26,10.6,45.56,36.31,32.2,1.0,8,1,2,4.7,4.32,5.83,True,77.39,9.42,0.976,False
WSM,Consumer Discretionary,"Williams-Sonoma, Inc.",2026-07-27,228.66,0.83,27.46,12.55,13.35,1.0,21,2,11,13.3,7.34,4.78,True,218.69,11.48,1.1,False
F,Consumer Discretionary,Ford Motor Company,2026-07-27,14.68,9.88,25.13,8.26,12.88,1.0,9,3,13,8.0,21.27,256.64,True,14.53,16.13,1.108,False
DLTR,Consumer Staples,Dollar Tree,2026-07-27,127.21,2.55,34.37,8.18,13.32,1.0,10,1,13,7.9,12.89,1.13,True,116.56,11.15,1.218,False
MNST,Consumer Staples,Monster Beverage,2026-07-27,96.38,-1.25,24.97,19.34,15.6,0.667,21,2,4,11.9,10.16,-4.5,True,93.48,6.63,1.012,False
SJM,Consumer Staples,J.M. Smucker Company (The),2026-07-27,119.26,2.56,24.35,16.15,14.8,1.0,9,3,6,6.6,5.01,5.18,True,111.38,13.45,1.078,False
MPC,Energy,Marathon Petroleum,2026-07-27,316.47,18.82,29.06,81.21,52.57,1.0,2,1,1,1.5,120.63,50.13,True,274.05,7.03,0.923,False
VLO,Energy,Valero Energy,2026-07-27,312.9,17.31,27.84,75.02,48.8,1.0,4,2,2,3.0,23.84,33.47,True,269.32,8.46,1.039,False
PSX,Energy,Phillips 66,2026-07-27,211.68,19.99,21.02,49.74,35.12,1.0,1,3,3,2.0,225.68,14.7,True,185.74,7.31,0.988,False
