symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2
LYV,Communication Services,Live Nation Entertainment,2026-07-27,174.13,-6.68,10.03,19.72,10.7,0.667,20,2,1,10.8,82.89,-485.68
TTWO,Communication Services,Take-Two Interactive,2026-07-27,242.92,-4.73,12.45,10.27,7.06,0.667,17,1,2,9.2,38.21,-87.12
VZ,Communication Services,Verizon,2026-07-27,46.81,11.86,-1.04,8.54,6.98,0.667,2,7,3,3.7,2.71,5.81
GRMN,Consumer Discretionary,Garmin,2026-07-27,293.78,22.4,21.72,46.9,34.48,1.0,1,4,1,1.9,22.52,13.14
BBY,Consumer Discretionary,Best Buy,2026-07-27,86.26,10.6,45.56,36.31,32.2,1.0,8,1,2,4.7,4.32,5.83
ROST,Consumer Discretionary,Ross Stores,2026-07-27,251.07,17.64,9.93,33.63,23.71,1.0,2,13,3,5.5,17.42,4.91
CASY,Consumer Staples,Casey's,2026-07-27,871.0,9.31,4.27,43.82,25.31,1.0,3,20,1,7.7,32.11,16.87
TGT,Consumer Staples,Target Corporation,2026-07-27,144.49,10.97,13.16,39.7,25.88,1.0,1,10,2,3.9,17.31,12.97
ADM,Consumer Staples,Archer Daniels Midland,2026-07-27,79.27,3.23,6.48,19.44,12.15,1.0,8,16,3,9.4,7.8,9.17
MPC,Energy,Marathon Petroleum,2026-07-27,316.47,18.82,29.06,81.21,52.57,1.0,2,1,1,1.5,120.63,50.13
VLO,Energy,Valero Energy,2026-07-27,312.9,17.31,27.84,75.02,48.8,1.0,4,2,2,3.0,23.84,33.47
PSX,Energy,Phillips 66,2026-07-27,211.68,19.99,21.02,49.74,35.12,1.0,1,3,3,2.0,225.68,14.7
STT,Financials,State Street Corporation,2026-07-27,184.16,7.89,21.76,42.38,28.6,1.0,17,7,1,10.8,9.21,7.46
XYZ,Financials,"Block, Inc.",2026-07-27,81.24,3.06,13.13,34.44,21.27,1.0,35,30,2,26.9,25.55,0.15
ALL,Financials,Allstate,2026-07-27,264.08,5.49,22.57,34.08,24.06,1.0,26,5,3,15.1,47.01,40.74
DVA,Health Care,DaVita,2026-07-27,240.09,2.21,58.32,119.58,74.92,1.0,28,1,1,14.5,23.18,6.51
HUM,Health Care,Humana,2026-07-27,363.86,-8.29,56.11,87.79,55.85,0.667,52,2,2,27.0,8.79,1.05
WST,Health Care,West Pharmaceutical Services,2026-07-27,340.96,-6.71,13.47,47.73,25.56,0.667,51,31,3,35.4,13.86,27.07
FIX,Industrials,Comfort Systems USA,2026-07-27,1729.69,-0.67,-7.32,51.59,23.8,0.333,39,62,1,38.3,19.85,54.44
PWR,Industrials,Quanta Services,2026-07-27,667.36,-0.14,-10.07,40.66,17.77,0.333,37,68,2,39.3,28.11,31.8
URI,Industrials,United Rentals,2026-07-27,1079.26,-1.76,13.93,38.6,22.34,0.667,45,19,3,28.8,10.11,8.63
DELL,Information Technology,Dell Technologies,2026-07-27,405.37,2.97,93.2,255.9,151.99,1.0,30,1,1,15.5,63.99,10.74
MRVL,Information Technology,Marvell Technology,2026-07-27,187.56,-23.52,13.74,137.84,66.47,0.667,70,22,2,42.0,0.64,1.05
HPE,Information Technology,Hewlett Packard Enterprise,2026-07-27,47.9,16.18,68.15,124.67,83.42,1.0,6,5,3,5.1,48.03,10.75
NUE,Materials,Nucor,2026-07-27,257.29,16.55,14.1,45.62,30.48,1.0,1,4,1,1.9,6.94,14.67
STLD,Materials,Steel Dynamics,2026-07-27,251.26,14.01,9.84,40.67,26.3,1.0,3,8,2,4.3,0.56,-0.19
CF,Materials,CF Industries,2026-07-27,125.19,13.25,2.45,35.55,21.7,1.0,4,14,3,6.8,45.68,10.41
HST,Real Estate,Host Hotels & Resorts,2026-07-27,25.13,7.62,23.49,42.32,28.94,1.0,2,3,1,2.1,116.0,4.07
IRM,Real Estate,Iron Mountain,2026-07-27,122.32,4.4,-3.17,34.77,17.69,0.667,5,24,2,10.1,15.76,3.81
DOC,Real Estate,Healthpeak Properties,2026-07-27,21.83,0.18,34.93,30.86,24.21,1.0,15,1,3,8.4,363.12,59.33
EIX,Utilities,Edison International,2026-07-27,73.37,-1.88,6.24,20.64,11.41,0.667,8,2,1,4.8,26.99,7.42
D,Utilities,Dominion Energy,2026-07-27,69.17,-0.83,9.26,17.35,10.78,0.667,5,1,2,3.2,17.2,4.37
ETR,Utilities,Entergy,2026-07-27,107.62,-6.51,-7.57,13.59,3.28,0.333,25,27,3,21.2,2.39,2.26
