symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
EA,Communication Services,Electronic Arts,2026-07-27,209.86,2.27,3.94,3.11,3.11,1.0,8,4,7,6.6,39.62,-76.4,True,True,204.94,0.73,1.386,True,209.93,-0.03,0.38,2.27,13.0,6.0,2831200.0,2042550.0,2.167,4850900.0,2960230.0,2909800.0,1.667,100.0,5,1,2,2.8,1,
VZ,Communication Services,Verizon,2026-07-27,46.81,11.86,-1.04,8.54,6.98,0.667,2,7,3,3.7,2.71,5.81,False,True,44.95,13.38,0.946,False,50.06,-6.49,0.93,11.86,11.0,9.0,28060781.0,29651400.0,1.222,28277600.0,28490130.0,27100173.0,1.043,92.38,3,3,11,4.6,2,
LYV,Communication Services,Live Nation Entertainment,2026-07-27,174.13,-6.68,10.03,19.72,10.7,0.667,20,2,1,10.8,82.89,-485.68,False,False,174.48,9.04,0.728,False,188.0,-7.38,-1.75,-6.68,11.0,9.0,1724836.0,2370800.0,1.222,5029400.0,2266330.0,2031546.0,2.476,76.36,1,16,1,7.0,3,吃老本
BBY,Consumer Discretionary,Best Buy,2026-07-27,86.26,10.6,45.56,36.31,32.2,1.0,8,1,2,4.7,4.32,5.83,False,True,77.39,9.42,0.976,False,91.27,-5.49,0.97,10.6,13.0,7.0,3350361.0,3432785.0,1.857,3806500.0,2904930.0,3351813.0,1.136,100.0,2,1,4,2.0,1,
GRMN,Consumer Discretionary,Garmin,2026-07-27,293.78,22.4,21.72,46.9,34.48,1.0,1,4,1,1.9,22.52,13.14,False,True,242.63,26.37,1.04,False,304.0,-3.36,20.88,22.4,11.0,9.0,1047463.0,1007422.0,1.222,1168100.0,1259730.0,1171240.0,0.997,100.0,1,1,8,2.4,2,
AMZN,Consumer Discretionary,Amazon,2026-07-27,271.58,11.91,1.24,13.49,10.03,1.0,5,24,10,11.7,215.02,68.18,False,True,246.63,19.58,1.435,False,278.56,-2.51,17.0,11.91,9.0,11.0,54647522.0,38093563.0,0.818,128881300.0,53193370.0,48722306.0,2.645,100.0,13,1,1,5.8,3,剛爆發
CASY,Consumer Staples,Casey's,2026-07-27,871.0,9.31,4.27,43.82,25.31,1.0,3,20,1,7.7,32.11,16.87,False,True,823.93,5.27,1.166,False,927.15,-6.06,1.16,9.31,11.0,9.0,382436.0,327877.0,1.222,218800.0,284680.0,311580.0,0.702,94.8,2,1,18,4.8,1,
SJM,Consumer Staples,J.M. Smucker Company (The),2026-07-27,119.26,2.56,24.35,16.15,14.8,1.0,9,3,6,6.6,5.01,5.18,False,True,111.38,13.45,1.078,False,127.65,-6.57,0.79,2.56,11.0,9.0,1606900.0,1490811.0,1.222,1794800.0,1620740.0,1566986.0,1.145,89.05,4,7,8,6.0,3,
ADM,Consumer Staples,Archer Daniels Midland,2026-07-27,79.27,3.23,6.48,19.44,12.15,1.0,8,16,3,9.4,7.8,9.17,True,False,80.19,11.37,0.8,False,88.46,-10.39,-7.74,3.23,12.0,8.0,3222350.0,4027575.0,1.5,7587600.0,3973900.0,3579486.0,2.12,85.34,7,11,1,7.4,5,
APA,Energy,APA Corporation,2026-07-27,37.32,16.14,-6.35,43.26,24.08,0.667,7,15,4,8.8,20.9,41.73,True,True,35.25,9.98,1.055,False,45.04,-17.14,3.24,16.14,13.0,7.0,5369330.0,5091142.0,1.857,7944500.0,5339400.0,5392946.0,1.473,100.0,4,1,1,2.2,1,
PSX,Energy,Phillips 66,2026-07-27,211.68,19.99,21.02,49.74,35.12,1.0,1,3,3,2.0,225.68,14.7,True,True,185.74,7.31,0.988,False,216.08,-2.04,2.37,19.99,14.0,6.0,2518021.0,2547616.0,2.333,2912600.0,2361180.0,2467953.0,1.18,100.0,3,1,5,2.6,2,
MPC,Energy,Marathon Petroleum,2026-07-27,316.47,18.82,29.06,81.21,52.57,1.0,2,1,1,1.5,120.63,50.13,True,True,274.05,7.03,0.923,False,326.92,-3.2,2.34,18.82,14.0,6.0,1980721.0,2146233.0,2.333,1687300.0,2005720.0,2053653.0,0.822,100.0,1,1,15,3.8,3,
CPAY,Financials,Corpay,2026-07-27,382.11,8.41,24.38,21.45,18.92,1.0,13,3,11,9.6,6.03,1.68,True,True,356.23,12.23,1.153,False,395.49,-3.38,3.11,8.41,13.0,7.0,530069.0,459557.0,1.857,548400.0,568340.0,535753.0,1.024,100.0,7,1,16,6.4,1,剛爆發
PRU,Financials,Prudential Financial,2026-07-27,122.08,8.08,25.48,12.88,14.83,1.0,16,2,28,14.2,16.48,-24.33,True,True,110.51,6.42,1.075,False,124.57,-2.0,1.77,8.08,14.0,6.0,1813214.0,1687016.0,2.333,2328900.0,1879620.0,1820960.0,1.279,100.0,14,1,10,8.0,2,剛爆發
CBOE,Financials,Cboe Global Markets,2026-07-27,310.23,24.6,-4.92,17.58,13.71,0.667,2,73,16,26.1,2.01,9.54,False,True,284.23,14.06,0.906,False,370.4,-16.25,8.83,24.6,15.0,5.0,1152713.0,1272940.0,3.0,1696900.0,1131970.0,1156126.0,1.468,100.0,18,1,6,8.8,3,剛爆發
