symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
VZ,Communication Services,Verizon,2026-08-03,47.36,13.1,0.29,24.34,15.52,1.0,27160495,27247066,29195681,-22.0,-12.51,21.8,P+V-,P+V-,P+V+,⚠️ 頂部背離,3.06,26.79,0.114,2,7,1,3.3,2.71,5.81,False,True,44.95,13.27,1.04,False,50.06,51.68,-5.4,0.08,14.49,11.0,9.0,27634981.0,26580566.0,1.222,23007900.0,28657850.0,26982813.0,0.853,95.26,62.05,空頭,頭頭低·底底低,多轉空預警,1,4,14,4.8,1,,,False
NWSA,Communication Services,News Corp (Class A),2026-08-03,27.94,3.79,6.16,5.28,5.13,1.0,3223475,5002553,4727816,-55.2,12.34,27.34,P+V-,P+V+,P+V+,⚠️ 頂部背離,-7.73,22.19,-0.348,8,3,5,5.9,5.46,6.92,False,True,26.69,10.04,1.013,False,31.48,31.61,-11.24,2.38,4.88,10.0,10.0,3244530.0,3202420.0,1.0,3358800.0,3456610.0,3254526.0,1.032,86.61,55.06,多頭,頭頭高·底底高,空轉多預警,5,10,9,7.8,8,,,False
T,Communication Services,AT&T,2026-08-03,23.59,13.35,-8.51,5.03,3.72,0.667,77973615,61561258,52825671,7.24,39.63,27.39,P+V+,P-V+,P+V+,➡️ 中性,-23.37,29.68,-0.787,1,17,6,6.8,10.49,3.42,False,True,22.62,15.37,1.185,False,28.75,29.79,-17.95,-3.4,16.16,14.0,6.0,81804385.0,69035150.0,2.333,53816900.0,88207040.0,84195346.0,0.639,100.0,58.2,空頭,頭頭低·底底低,,7,1,19,7.0,6,剛爆發,,False
GRMN,Consumer Discretionary,Garmin,2026-08-03,304.76,22.55,21.89,50.04,36.13,1.0,1042200,902244,917060,15.52,-3.18,-1.67,P+V+,P+V-,P+V-,➡️ 中性,13.95,32.12,0.434,1,4,1,1.9,22.52,13.14,False,True,243.99,26.15,1.063,False,305.0,305.0,-0.08,25.69,24.28,11.0,9.0,1070654.0,1007422.0,1.222,905900.0,1258620.0,1196013.0,0.757,100.0,79.88,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,1,1,23,5.4,3,,,False
ROST,Consumer Discretionary,Ross Stores,2026-08-03,252.91,17.81,11.25,36.53,25.53,1.0,2279690,3087133,2796746,-35.59,23.17,6.97,P+V-,P+V+,P+V+,⚠️ 頂部背離,55.67,24.53,2.269,3,12,2,5.5,17.42,4.91,False,True,229.93,10.97,1.182,False,257.0,257.0,-1.59,3.93,19.66,17.0,3.0,2333594.0,1974233.0,5.667,2457300.0,2261370.0,2185080.0,1.125,100.0,70.96,擴散,頭頭高·底底低,多頭確認,3,1,11,3.8,1,,,False
BBY,Consumer Discretionary,Best Buy,2026-08-03,85.25,8.3,42.81,33.4,29.48,1.0,3416275,4074484,4302995,-12.69,-10.09,13.16,P+V-,P+V-,P+V+,⚠️ 頂部背離,28.43,41.54,0.684,11,1,3,6.4,4.32,5.83,False,True,77.9,9.72,0.961,False,91.27,91.27,-6.6,-3.62,9.29,12.0,8.0,3361666.0,3498187.0,1.5,3956000.0,3052470.0,3261620.0,1.213,93.45,56.32,多頭,頭頭高·底底高,,2,12,8,7.2,4,吃老本,,False
TGT,Consumer Staples,Target Corporation,2026-08-03,148.21,17.09,16.19,46.3,31.47,1.0,3726600,4859172,5382723,-22.93,-17.73,-28.24,P+V-,P+V-,P+V-,⚠️ 量能衰竭,31.92,25.84,1.235,1,6,1,2.5,17.31,12.97,False,True,132.13,12.37,1.216,False,148.93,150.07,-0.48,6.42,18.44,10.0,10.0,4090270.0,3362930.0,1.0,4856900.0,3204500.0,3509933.0,1.384,99.92,69.51,多頭,頭頭高·底底高,多頭確認,1,3,6,2.8,1,,,False
KHC,Consumer Staples,Kraft Heinz,2026-08-03,26.0,4.43,18.71,15.4,13.48,1.0,12851050,14190852,15002293,-9.23,-10.26,0.62,P+V-,P+V-,P+V+,⚠️ 頂部背離,-3.37,25.95,-0.13,7,5,5,6.0,15.38,9.12,False,True,24.05,11.12,1.134,False,27.65,29.19,-5.95,0.76,6.45,11.0,9.0,13570981.0,11971133.0,1.222,13616400.0,14404840.0,13866440.0,0.982,92.35,57.34,多頭,頭頭高·底底高,空轉多預警,3,4,15,5.8,2,,,False
DLTR,Consumer Staples,Dollar Tree,2026-08-03,129.35,5.46,33.2,6.16,12.75,1.0,2558540,3626470,3412192,-31.23,13.4,-13.23,P+V-,P+V+,P+V-,⚠️ 量能背離,5.88,41.81,0.141,6,1,15,6.3,12.89,1.13,False,True,117.28,11.88,1.34,False,142.4,142.4,-9.16,3.03,6.5,12.0,8.0,2847600.0,2124950.0,1.5,2181100.0,2294390.0,2564400.0,0.851,100.0,60.87,多頭,頭頭高·底底高,,6,1,21,7.0,4,,,False
VLO,Energy,Valero Energy,2026-08-03,307.54,15.97,22.81,70.63,45.01,1.0,2776330,3024563,3342157,-16.05,-17.36,16.92,P+V-,P+V-,P+V+,⚠️ 頂部背離,106.48,32.17,3.31,1,2,2,1.5,23.84,33.47,False,True,270.44,8.47,1.044,False,319.01,320.24,-3.59,1.25,14.21,11.0,9.0,2829681.0,2711122.0,1.222,3302200.0,2560230.0,2806326.0,1.177,95.62,62.05,擴散,頭頭高·底底低,,2,11,5,6.2,7,吃老本,,False
