symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
VZ,Communication Services,Verizon,2026-08-03,47.36,13.1,0.29,24.34,15.52,1.0,27160495,27247066,29195681,-22.0,-12.51,21.8,P+V-,P+V-,P+V+,⚠️ 頂部背離,3.06,26.79,0.114,2,7,1,3.3,2.71,5.81,False,True,44.95,13.27,1.04,False,50.06,51.68,-5.4,0.08,14.49,11.0,9.0,27634981.0,26580566.0,1.222,23007900.0,28657850.0,26982813.0,0.853,95.26,62.05,空頭,頭頭低·底底低,多轉空預警,1,4,14,4.8,1,,,False
GOOGL,Communication Services,Alphabet Inc. (Class A),2026-08-03,373.27,1.77,-2.88,11.79,5.62,0.667,30603335,33212744,32703029,-18.31,3.17,-7.44,P+V-,P-V+,P+V-,⚠️ 量能背離,94.31,30.21,3.122,10,10,3,8.6,214.23,91.59,False,True,358.15,18.24,0.948,False,408.1,408.61,-8.54,14.38,1.92,10.0,10.0,29778560.0,31428110.0,1.0,38669700.0,36475100.0,33809960.0,1.144,88.49,61.13,擴散,頭頭高·底底低,,4,6,6,5.2,2,,,False
GOOG,Communication Services,Alphabet Inc. (Class C),2026-08-03,372.23,2.43,-2.42,11.33,5.67,0.667,20381510,22684413,21726200,-18.49,9.23,-4.61,P+V-,P-V+,P+V-,⚠️ 量能背離,92.65,29.74,3.115,9,9,4,8.0,212.9,94.3,False,True,356.17,18.09,1.033,False,403.96,404.47,-7.86,14.06,2.07,9.0,11.0,20741577.0,20086909.0,0.818,27165400.0,24671480.0,22470433.0,1.209,87.21,61.45,擴散,頭頭高·底底低,,3,8,5,5.4,3,,,False
ROST,Consumer Discretionary,Ross Stores,2026-08-03,252.91,17.81,11.25,36.53,25.53,1.0,2279690,3087133,2796746,-35.59,23.17,6.97,P+V-,P+V+,P+V+,⚠️ 頂部背離,55.67,24.53,2.269,3,12,2,5.5,17.42,4.91,False,True,229.93,10.97,1.182,False,257.0,257.0,-1.59,3.93,19.66,17.0,3.0,2333594.0,1974233.0,5.667,2457300.0,2261370.0,2185080.0,1.125,100.0,70.96,擴散,頭頭高·底底低,多頭確認,3,1,11,3.8,1,,,False
AMZN,Consumer Discretionary,Amazon,2026-08-03,284.02,15.46,7.15,16.08,13.69,1.0,48090830,50908109,51399133,-24.48,-1.89,16.53,P+V-,P+V-,P+V+,⚠️ 頂部背離,13.69,32.4,0.423,6,19,6,9.9,215.02,68.18,False,True,247.01,25.04,1.583,False,287.2,287.2,-1.11,22.75,16.33,9.0,11.0,60309711.0,38093563.0,0.818,90830200.0,59053090.0,52480146.0,1.731,100.0,72.23,空頭,頭頭低·底底低,多頭確認,9,1,2,4.4,2,剛爆發,,False
GRMN,Consumer Discretionary,Garmin,2026-08-03,304.76,22.55,21.89,50.04,36.13,1.0,1042200,902244,917060,15.52,-3.18,-1.67,P+V+,P+V-,P+V-,➡️ 中性,13.95,32.12,0.434,1,4,1,1.9,22.52,13.14,False,True,243.99,26.15,1.063,False,305.0,305.0,-0.08,25.69,24.28,11.0,9.0,1070654.0,1007422.0,1.222,905900.0,1258620.0,1196013.0,0.757,100.0,79.88,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,1,1,23,5.4,3,,,False
TGT,Consumer Staples,Target Corporation,2026-08-03,148.21,17.09,16.19,46.3,31.47,1.0,3726600,4859172,5382723,-22.93,-17.73,-28.24,P+V-,P+V-,P+V-,⚠️ 量能衰竭,31.92,25.84,1.235,1,6,1,2.5,17.31,12.97,False,True,132.13,12.37,1.216,False,148.93,150.07,-0.48,6.42,18.44,10.0,10.0,4090270.0,3362930.0,1.0,4856900.0,3204500.0,3509933.0,1.384,99.92,69.51,多頭,頭頭高·底底高,多頭確認,1,3,6,2.8,1,,,False
KHC,Consumer Staples,Kraft Heinz,2026-08-03,26.0,4.43,18.71,15.4,13.48,1.0,12851050,14190852,15002293,-9.23,-10.26,0.62,P+V-,P+V-,P+V+,⚠️ 頂部背離,-3.37,25.95,-0.13,7,5,5,6.0,15.38,9.12,False,True,24.05,11.12,1.134,False,27.65,29.19,-5.95,0.76,6.45,11.0,9.0,13570981.0,11971133.0,1.222,13616400.0,14404840.0,13866440.0,0.982,92.35,57.34,多頭,頭頭高·底底高,空轉多預警,3,4,15,5.8,2,,,False
KO,Consumer Staples,Coca-Cola Company (The),2026-08-03,86.86,3.34,11.0,19.68,13.42,1.0,17551770,17639393,17391883,-17.62,2.89,7.63,P+V-,P+V+,P+V+,⚠️ 頂部背離,23.89,18.26,1.308,10,9,3,8.3,4.05,5.88,False,True,81.96,11.78,0.98,False,90.92,90.92,-4.47,3.32,4.7,10.0,10.0,17378660.0,17724880.0,1.0,23197100.0,18255800.0,18698486.0,1.241,86.31,59.74,多頭,頭頭高·底底高,多頭確認,4,9,8,6.8,3,,,False
MPC,Energy,Marathon Petroleum,2026-08-03,306.19,15.28,24.13,80.31,50.01,1.0,2049705,2323701,2451014,-18.05,-9.88,23.63,P+V-,P+V-,P+V+,⚠️ 頂部背離,65.68,35.61,1.845,3,1,1,2.0,120.63,50.13,False,True,274.27,7.05,0.935,False,326.03,326.92,-6.08,-1.7,14.14,13.0,7.0,2000876.0,2140385.0,1.857,2105300.0,2057470.0,2051020.0,1.026,100.0,59.17,擴散,頭頭高·底底低,,1,1,9,2.6,1,,,False
APA,Energy,APA Corporation,2026-08-03,36.87,9.2,-8.84,44.71,22.45,0.667,5327970,5883024,7196303,-8.54,-30.87,6.75,P+V-,P-V-,P+V+,⚠️ 頂部背離,80.7,37.44,2.155,9,16,4,10.1,20.9,41.73,False,True,35.21,9.91,1.082,False,45.04,45.66,-18.14,6.13,14.39,12.0,8.0,5495316.0,5076950.0,1.5,4977600.0,5365150.0,5282100.0,0.942,100.0,58.62,空頭,頭頭低·底底低,,4,1,13,4.6,2,,,False
EOG,Energy,EOG Resources,2026-08-03,145.68,9.08,4.4,36.2,21.47,1.0,2933750,3550589,4400583,-31.04,-32.38,22.08,P+V-,P+V-,P+V+,⚠️ 頂部背離,13.98,23.15,0.604,10,4,6,7.4,6.22,3.38,False,True,136.67,6.77,1.062,False,149.59,151.87,-2.61,3.83,13.43,13.0,7.0,2995123.0,2819771.0,1.857,2775800.0,2631290.0,2837680.0,0.978,100.0,59.17,空頭,頭頭低·底底低,多頭確認,5,1,11,4.6,2,,,False
PRU,Financials,Prudential Financial,2026-08-03,121.58,6.5,27.06,17.62,17.2,1.0,1791435,1916464,2202338,-8.14,-22.98,33.82,P+V-,P+V-,P+V+,⚠️ 頂部背離,19.64,21.0,0.935,21,2,18,14.7,16.48,-24.33,False,True,109.67,6.39,1.088,False,123.15,124.57,-1.28,0.89,7.61,14.0,6.0,1836142.0,1687116.0,2.333,2061100.0,1909370.0,1837860.0,1.121,100.0,69.33,多頭,頭頭高·底底高,多頭確認,12,1,7,6.6,2,剛爆發,,False
GPN,Financials,Global Payments,2026-08-03,86.19,11.08,20.23,17.69,16.67,1.0,3087385,3782333,3659896,-25.19,6.92,45.41,P+V-,P+V+,P+V+,⚠️ 頂部背離,0.5,39.82,0.012,10,10,17,11.4,5.43,0.62,False,True,73.98,14.2,1.235,False,89.46,90.64,-3.66,2.53,11.34,12.0,8.0,3341583.0,2706087.0,1.5,3280200.0,2940060.0,3202646.0,1.024,100.0,62.91,多頭,頭頭高·底底高,多頭確認,13,1,10,7.6,3,剛爆發,,False
CPAY,Financials,Corpay,2026-08-03,385.78,8.03,25.88,21.33,19.14,1.0,501070,616624,644260,-36.24,-8.23,19.48,P+V-,P+V-,P+V+,⚠️ 頂部背離,12.69,40.63,0.312,17,3,11,11.6,6.03,1.68,False,True,356.94,12.18,1.139,False,395.49,395.49,-2.46,1.6,8.2,13.0,7.0,523423.0,459557.0,1.857,397600.0,549720.0,523326.0,0.76,100.0,62.24,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,8,1,25,8.6,4,剛爆發,,False
