sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLE,能源,Energy,2026-08-13,61.06,57.68,59.01,53.61,5.86,3.47,13.9,9.28,1.0,26600770,20698000,27934826,0.741,4.99,7.09,14,6,27416142,29937733,0.916,2.333,100.0,2,7,2,3,7,1,3.5,3,3.0,1,
XLF,金融,Financials,2026-08-13,58.26,56.26,50.92,51.21,3.55,14.41,13.77,11.38,1.0,26541050,23185500,29590446,0.784,0.78,2.66,11,9,29123227,31187388,0.934,1.222,86.58,5,2,3,2,5,4,3.7,4,3.4,2,
XLI,工業,Industrials,2026-08-13,185.79,179.41,170.98,173.26,3.56,8.66,7.23,6.67,1.0,6133730,4942500,6453806,0.766,0.56,3.0,11,9,6801663,6261377,1.086,1.222,89.37,4,3,5,5,6,3,3.9,5,4.4,3,
XLK,資訊科技,Information Technology,2026-08-13,190.77,175.59,176.05,139.22,8.65,8.36,37.03,22.77,1.0,7562810,4870900,8750993,0.557,2.94,7.46,8,12,8775287,8398275,1.045,0.667,83.94,1,4,1,1,10,7,1.9,1,5.2,4,吃老本
XLY,非必需消費,Consumer Discretionary,2026-08-13,118.45,115.44,116.3,115.72,2.61,1.85,2.36,2.3,1.0,6190110,4520600,6886213,0.656,0.3,2.2,12,8,7268925,6979187,1.042,1.5,92.17,7,8,7,7,9,2,7.3,8,5.4,5,
XLV,醫療保健,Health Care,2026-08-13,168.38,161.09,144.46,156.34,4.53,16.56,7.7,9.12,1.0,9588160,6722800,9899493,0.679,2.39,4.07,10,10,8827890,9465790,0.933,1.0,84.72,3,1,4,4,8,6,2.6,2,5.6,6,
XLB,材料,Materials,2026-08-13,52.31,50.53,50.11,52.88,3.52,4.38,-1.07,1.44,0.667,11747940,10407100,11654713,0.893,0.27,3.3,10,10,11544010,10842460,1.065,1.0,85.72,6,6,8,8,3,5,6.4,6,5.8,7,
XLRE,房地產,Real Estate,2026-08-13,45.12,45.42,42.85,42.83,-0.66,5.29,5.34,3.82,0.667,5648750,5760400,5585900,1.031,0.69,1.44,9,11,5247855,5204800,1.008,0.818,81.06,9,5,6,6,1,9,7.2,7,6.2,8,
XLC,通訊服務,Communication Services,2026-08-13,112.55,110.65,115.78,113.92,1.72,-2.79,-1.2,-0.87,0.333,5489490,5538700,6177340,0.897,1.23,0.99,11,9,5318372,6860000,0.775,1.222,82.99,8,10,9,9,2,8,8.8,9,7.2,9,
XLU,公用事業,Utilities,2026-08-13,44.04,45.17,43.59,45.88,-2.5,1.03,-4.02,-2.38,0.333,22416180,17854200,21358246,0.836,1.52,-3.14,8,12,18282875,21735125,0.841,0.667,73.44,10,9,10,10,4,10,9.7,10,8.8,10,
