symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
FOXA,Communication Services,Fox Corporation (Class A),2026-08-21,68.54,21.01,6.88,22.06,18.0,1.0,2,6,5,3.8,29.29,36.35,False,True,57.97,14.4,1.026,False,76.02,76.39,-9.84,-0.72,23.92,12.0,7.0,5213108.0,5081257.0,1.714,5731700.0,5481500.0,5788260.0,0.99,100.0,多頭,頭頭高·底底高,多頭確認,4,1,1,2.2,2,
FOX,Communication Services,Fox Corporation (Class B),2026-08-21,61.05,20.15,6.4,18.95,16.11,1.0,3,7,6,4.8,31.62,22.22,False,True,51.98,14.23,0.992,False,67.81,68.18,-9.97,-0.59,23.56,13.0,7.0,1015138.0,1023042.0,1.857,564500.0,825370.0,1015726.0,0.556,100.0,多頭,頭頭高·底底高,多頭確認,5,1,18,6.0,4,
CMCSA,Communication Services,Comcast,2026-08-21,26.85,17.76,9.39,-12.73,0.42,0.667,4,5,18,7.1,7.62,8.29,False,True,24.04,8.68,1.232,False,32.05,32.86,-16.21,2.56,20.4,13.0,6.0,28554853.0,23177866.0,2.167,20308000.0,21119490.0,23773680.0,0.854,100.0,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,16,1,3,7.4,6,剛爆發
ABNB,Consumer Discretionary,Airbnb,2026-08-21,187.3,27.54,38.18,50.77,41.81,1.0,1,5,2,2.4,9.48,-14.13,False,True,153.6,6.4,1.584,False,189.2,189.2,-1.0,1.76,32.74,10.0,10.0,6635230.0,4188080.0,1.0,4245300.0,5590420.0,5941200.0,0.715,100.0,擴散,頭頭高·底底低,多頭確認,2,1,23,5.8,3,
GRMN,Consumer Discretionary,Garmin,2026-08-21,294.85,21.6,24.71,37.01,30.09,1.0,2,8,4,4.2,22.52,13.14,False,True,263.08,7.67,1.283,False,314.28,314.28,-6.18,-4.95,21.32,10.0,10.0,1195040.0,931160.0,1.0,706800.0,743470.0,822640.0,0.859,98.27,多頭,頭頭高·底底高,空轉多預警,4,10,13,8.2,5,吃老本
EXPE,Consumer Discretionary,Expedia Group,2026-08-21,321.63,15.54,48.13,61.17,46.5,1.0,5,1,1,3.0,9.65,42.34,False,True,279.07,9.52,0.934,False,335.0,335.0,-3.99,-3.32,23.73,15.0,5.0,1610173.0,1723840.0,3.0,1361700.0,1334580.0,1646340.0,0.827,100.0,多頭,頭頭高·底底高,,1,1,15,3.8,1,
EL,Consumer Staples,Estée Lauder Companies (The),2026-08-21,101.94,22.52,30.86,-8.46,9.12,0.667,1,3,24,6.2,22.12,40.2,False,True,84.97,20.09,1.597,False,120.79,121.64,-15.61,18.4,26.96,9.0,11.0,4164533.0,2607881.0,0.818,6020900.0,4458360.0,3682166.0,1.635,100.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,8,1,1,3.8,4,剛爆發
TGT,Consumer Staples,Target Corporation,2026-08-21,165.44,18.79,36.28,44.4,35.97,1.0,2,2,1,1.8,75.83,17.31,False,True,140.05,12.41,1.216,False,165.48,165.48,-0.02,7.09,21.88,12.0,8.0,4810991.0,3956287.0,1.5,6232700.0,5496570.0,4838886.0,1.288,100.0,多頭,頭頭高·底底高,多頭確認,1,1,3,1.4,1,
CLX,Consumer Staples,Clorox,2026-08-21,106.69,10.81,14.51,-11.11,0.77,0.667,3,9,27,9.6,0.86,6.16,False,True,98.04,5.64,1.399,False,125.83,128.9,-15.21,0.94,12.96,11.0,9.0,3136900.0,2242588.0,1.222,2151200.0,2529950.0,2794380.0,0.77,100.0,多頭,頭頭高·底底高,,17,1,18,10.8,9,剛爆發
APA,Energy,APA Corporation,2026-08-21,43.39,24.9,11.13,60.89,39.45,1.0,1,4,3,2.3,1.01,20.9,False,True,36.01,16.39,1.043,False,45.05,45.66,-3.68,7.22,20.03,12.0,8.0,6182766.0,5927787.0,1.5,6578400.0,6059770.0,6058540.0,1.086,100.0,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,4,1,4,2.8,1,
PSX,Energy,Phillips 66,2026-08-21,242.87,17.49,36.14,56.77,41.79,1.0,2,3,4,2.7,25.45,225.68,False,True,198.27,17.6,0.919,False,246.95,246.95,-1.65,4.52,18.08,13.0,7.0,2680730.0,2917842.0,1.857,2653800.0,2930770.0,2938686.0,0.903,100.0,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,3,1,7,3.0,3,
COP,Energy,ConocoPhillips,2026-08-21,134.87,17.47,10.96,26.72,20.47,1.0,3,6,9,5.1,10.82,11.52,False,True,115.02,13.66,0.915,False,135.88,135.88,-0.74,7.09,12.9,13.0,7.0,6861384.0,7497257.0,1.857,8696600.0,7033120.0,7228080.0,1.203,100.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,7,1,3,3.8,4,剛爆發
ERIE,Financials,Erie Indemnity,2026-08-21,264.85,16.03,19.95,-5.62,6.19,0.667,1,13,73,19.0,2.92,-5.26,False,True,239.12,9.11,1.025,False,363.74,371.45,-27.19,3.46,18.47,13.0,7.0,275838.0,269171.0,1.857,341500.0,235580.0,243673.0,1.401,100.0,擴散,頭頭高·底底低,多頭確認,51,1,5,21.8,22,剛爆發
HOOD,Financials,Robinhood Markets,2026-08-21,108.13,13.05,42.73,43.33,35.61,1.0,2,1,5,2.3,43.71,-1.98,False,True,100.31,18.92,1.069,False,153.86,153.86,-29.72,13.15,13.93,10.0,10.0,20306260.0,18997830.0,1.0,50460200.0,19414690.0,18604366.0,2.712,97.32,擴散,頭頭高·底底低,,3,12,1,6.2,3,吃老本
WTW,Financials,Willis Towers Watson,2026-08-21,341.99,13.0,35.11,16.54,20.3,1.0,3,3,30,8.4,7.78,1.8,False,True,299.28,5.9,0.918,False,349.38,352.79,-2.12,3.14,15.89,10.0,10.0,579200.0,631160.0,1.0,499400.0,537740.0,538166.0,0.928,91.85,多頭,頭頭高·底底高,,9,20,21,15.8,11,吃老本
MRNA,Health Care,Moderna,2026-08-21,145.13,160.88,201.6,230.37,205.8,1.0,1,1,1,1.0,4.33,12.37,False,True,67.6,132.68,1.628,False,176.66,176.66,-17.85,129.2,168.41,12.0,8.0,28413191.0,17447737.0,1.5,87316100.0,42657630.0,30225153.0,2.889,100.0,多頭,頭頭高·底底高,多頭確認,1,1,1,1.0,1,
CRL,Health Care,Charles River Laboratories,2026-08-21,295.19,31.6,89.19,86.2,73.3,1.0,2,2,3,2.2,10.31,5.42,False,True,234.14,11.88,1.396,False,299.32,299.32,-1.38,5.41,30.28,12.0,8.0,1105800.0,792350.0,1.5,887500.0,967190.0,1008586.0,0.88,100.0,擴散,頭頭高·底底低,多頭確認,2,1,19,5.0,4,
VEEV,Health Care,Veeva Systems,2026-08-21,247.9,27.48,50.28,40.2,39.54,1.0,3,5,7,4.4,4.91,6.45,False,True,197.66,10.3,1.535,False,310.5,310.5,-20.16,1.7,33.11,15.0,5.0,1926033.0,1254620.0,3.0,1091600.0,1595970.0,1757286.0,0.621,100.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,5,1,26,7.6,8,
LDOS,Industrials,Leidos,2026-08-21,141.39,23.0,14.07,-11.94,3.3,0.667,1,26,64,21.1,12.11,7.56,False,True,117.64,7.41,1.088,False,204.08,205.77,-30.72,-1.7,26.08,14.0,6.0,1634992.0,1503216.0,2.333,954900.0,1414980.0,1684080.0,0.567,100.0,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,41,1,31,23.0,23,剛爆發
AXON,Industrials,Axon Enterprise,2026-08-21,627.75,19.46,57.55,45.33,41.92,1.0,2,1,1,1.5,1.96,0.8,False,True,540.46,13.72,1.019,False,794.29,794.29,-20.97,2.43,24.97,13.0,7.0,971138.0,952857.0,1.857,603600.0,859140.0,1036260.0,0.582,100.0,多頭,頭頭高·底底高,,1,1,30,6.8,5,
BR,Industrials,Broadridge Financial Solutions,2026-08-21,182.18,19.24,22.93,5.91,13.5,1.0,3,7,37,11.0,1.68,4.45,False,True,152.84,9.95,1.275,False,260.02,265.37,-29.94,6.53,22.33,13.0,7.0,1481730.0,1161814.0,1.857,1142600.0,1318040.0,1481820.0,0.771,100.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,11,1,25,9.8,6,剛爆發
ZBRA,Information Technology,Zebra Technologies,2026-08-21,368.51,39.28,51.36,41.32,43.32,1.0,1,5,20,6.0,45.1,11.88,False,True,290.88,9.65,1.173,False,386.23,386.23,-4.59,-2.0,41.78,12.0,8.0,953758.0,813200.0,1.5,718600.0,653490.0,886940.0,0.81,100.0,多頭,頭頭高·底底高,空轉多預警,14,1,12,8.4,2,剛爆發
PLTR,Information Technology,Palantir Technologies,2026-08-21,179.94,36.81,31.2,35.27,34.64,1.0,2,10,23,8.6,18.51,18.08,False,True,138.93,8.07,1.795,False,207.52,207.52,-13.29,3.39,46.39,9.0,11.0,62979277.0,35092190.0,0.818,41076200.0,35326270.0,52561833.0,0.781,100.0,空頭,頭頭低·底底低,多頭確認,17,1,16,10.4,3,剛爆發
WDAY,Information Technology,"Workday, Inc.",2026-08-21,200.01,35.56,57.97,39.75,43.26,1.0,3,4,21,6.9,5.68,6.41,True,True,150.48,28.24,1.335,False,249.85,249.85,-19.95,0.67,47.78,11.0,9.0,5926027.0,4439966.0,1.222,3430900.0,5624560.0,4848246.0,0.708,100.0,多頭,頭頭高·底底高,空轉多預警,15,1,20,10.4,3,剛爆發
NEM,Materials,Newmont,2026-08-21,131.58,40.77,22.81,8.05,19.92,1.0,1,5,8,3.6,5.68,33.45,False,True,101.54,15.97,1.243,False,134.29,134.88,-2.02,11.74,41.2,14.0,6.0,7950150.0,6398066.0,2.333,10513100.0,7897790.0,7843353.0,1.34,100.0,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,3,1,9,3.4,2,
ALB,Materials,Albemarle Corporation,2026-08-21,143.25,23.3,-15.62,-14.77,-5.47,0.333,2,25,23,13.1,15.71,124.6,False,True,132.73,12.61,1.177,False,220.44,221.0,-35.02,5.21,24.73,12.0,8.0,2488583.0,2115212.0,1.5,3302100.0,1999650.0,2264280.0,1.458,100.0,空頭,頭頭低·底底低,,23,1,8,11.2,12,剛爆發
FCX,Materials,Freeport-McMoRan,2026-08-21,76.66,22.23,26.25,26.07,25.15,1.0,3,4,3,3.3,18.5,21.95,False,True,64.61,16.96,1.143,False,77.33,77.33,-0.87,15.3,22.46,12.0,8.0,14232491.0,12452712.0,1.5,28518300.0,13261050.0,13260613.0,2.151,100.0,多頭,頭頭高·底底高,多頭確認,1,1,1,1.0,1,
CSGP,Real Estate,CoStar Group,2026-08-21,32.26,10.59,-5.15,-29.47,-13.37,0.333,1,28,30,14.9,11.88,24.8,False,True,30.07,11.83,0.894,False,91.89,91.89,-64.89,-0.37,16.63,9.0,10.0,6921733.0,7742170.0,0.9,4751500.0,5441550.0,5793246.0,0.82,88.98,空頭,頭頭低·底底低,多頭確認,30,8,14,18.0,22,剛爆發
CBRE,Real Estate,CBRE Group,2026-08-21,152.1,5.71,16.0,7.69,9.27,1.0,3,1,13,4.4,5.77,42.05,False,True,141.74,8.78,1.194,False,174.27,174.27,-12.72,-0.5,9.06,13.0,7.0,1798707.0,1507028.0,1.857,1040300.0,1309760.0,1395226.0,0.746,100.0,多頭,頭頭高·底底高,,5,1,19,6.2,2,
AMT,Real Estate,American Tower,2026-08-21,175.8,5.43,-3.55,-7.17,-3.11,0.333,4,26,25,14.8,20.65,17.04,False,True,171.91,5.5,0.724,False,206.8,214.79,-14.99,0.13,5.48,14.0,6.0,2448400.0,3379883.0,2.333,1746100.0,1802560.0,2218200.0,0.787,100.0,擴散,頭頭高·底底低,,26,1,15,13.8,13,剛爆發
AWK,Utilities,American Water Works,2026-08-21,135.39,1.29,11.38,2.81,4.57,1.0,1,1,2,1.2,3.97,-7.4,False,True,132.01,6.13,1.051,False,143.94,147.87,-5.94,-0.59,1.21,11.0,9.0,2595363.0,2468277.0,1.222,1942400.0,2288030.0,2245746.0,0.865,87.22,多頭,頭頭高·底底高,,1,2,18,4.8,2,
CEG,Utilities,Constellation Energy,2026-08-21,272.88,1.22,-2.83,-9.54,-5.17,0.333,2,14,26,10.4,11.73,5.3,False,True,262.75,7.9,0.867,False,410.41,412.7,-33.51,-3.26,-0.38,8.0,12.0,2528900.0,2917850.0,0.667,2034000.0,2445910.0,2748506.0,0.74,73.63,多頭,頭頭高·底底高,,17,5,21,13.0,14,剛爆發
PCG,Utilities,PG&E Corporation,2026-08-21,17.6,0.0,8.22,-1.77,1.17,0.333,4,2,9,4.4,11.64,8.83,False,True,17.27,8.37,1.378,False,19.05,19.16,-7.61,-1.35,-1.4,11.0,9.0,30119445.0,21859722.0,1.222,26601600.0,24139940.0,26603300.0,1.0,91.07,多頭,頭頭高·底底高,,2,1,12,3.6,1,
