symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
NWSA,Communication Services,News Corp (Class A),2026-08-28,30.97,10.84,16.78,34.16,23.99,1.0,3943980,4773881,4581799,20.41,8.75,16.71,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,6,2,2,4.0,51.24,5.46,False,True,27.9,10.22,0.941,False,31.66,31.66,-2.18,1.94,12.37,16.0,4.0,3895337.0,4138550.0,4.0,5268000.0,3535030.0,3393546.0,1.552,100.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,1,1,2,1.2,1,
FOXA,Communication Services,Fox Corporation (Class A),2026-08-28,68.42,16.56,3.93,22.82,16.53,1.0,5492850,6516816,4992320,15.48,87.92,38.05,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,2,12,3,5.2,29.29,36.35,False,True,59.01,5.77,0.961,False,76.02,76.39,-9.99,-0.18,17.5,12.0,7.0,5395858.0,5617485.0,1.714,3622700.0,5288240.0,5189873.0,0.698,100.0,多頭,頭頭高·底底高,,3,1,17,5.0,5,
FOX,Communication Services,Fox Corporation (Class B),2026-08-28,61.32,16.53,3.53,19.8,14.92,1.0,1004815,1708349,1591386,-18.64,15.87,-6.11,P+V-,P+V+,P+V-,⚠️ 量能背離,3,13,4,6.2,31.62,22.22,False,True,52.85,4.7,0.866,False,67.81,68.18,-9.57,0.44,18.06,13.0,7.0,953300.0,1100485.0,1.857,943300.0,923530.0,874273.0,1.079,100.0,多頭,頭頭高·底底高,,4,1,6,3.2,3,
ABNB,Consumer Discretionary,Airbnb,2026-08-28,189.43,25.75,40.84,50.75,42.02,1.0,5610565,4285204,4079594,68.08,10.61,-14.92,P+V+,P+V+,P+V-,🚀 健康多頭,1,3,2,1.8,9.48,-14.13,False,True,158.77,7.84,1.439,False,193.45,193.45,-2.08,1.14,25.02,11.0,9.0,6503390.0,4519333.0,1.222,4829400.0,4609240.0,5266500.0,0.917,100.0,擴散,頭頭高·底底低,多頭確認,2,1,9,3.0,1,
EXPE,Consumer Discretionary,Expedia Group,2026-08-28,329.44,10.7,44.99,67.24,47.54,1.0,1553575,1561581,1794929,5.49,-23.01,-15.64,P+V+,P+V-,P+V-,➡️ 中性,4,2,1,2.8,9.65,42.34,False,True,288.46,7.99,1.021,False,341.51,342.0,-3.53,2.58,11.93,13.0,7.0,1565038.0,1532285.0,1.857,969200.0,1315080.0,1314813.0,0.737,100.0,多頭,頭頭高·底底高,,1,1,19,4.6,2,
GPC,Consumer Discretionary,Genuine Parts Company,2026-08-28,137.51,7.0,40.04,18.06,20.79,1.0,1131325,1686593,1780306,-41.93,-10.0,48.04,P+V-,P+V-,P+V+,⚠️ 頂部背離,7,4,9,6.5,3.47,1.26,False,True,126.5,7.75,0.949,False,148.58,151.57,-7.45,2.65,10.57,12.0,8.0,1107525.0,1167025.0,1.5,733700.0,1160340.0,1154106.0,0.636,96.51,多頭,頭頭高·底底高,多頭確認,4,7,22,8.8,5,
SJM,Consumer Staples,J.M. Smucker Company (The),2026-08-28,132.34,13.69,28.1,23.51,22.2,1.0,1247075,1533318,1862201,-19.78,-30.02,2.13,P+V-,P+V-,P+V+,⚠️ 頂部背離,3,1,2,2.2,46.18,5.01,False,True,116.73,14.65,1.05,False,135.89,135.89,-2.61,6.45,12.01,14.0,6.0,1265128.0,1204950.0,2.333,1449200.0,1502620.0,1341846.0,1.08,100.0,多頭,頭頭高·底底高,多頭確認,2,1,7,2.6,1,
TGT,Consumer Staples,Target Corporation,2026-08-28,163.18,10.1,27.81,43.69,31.32,1.0,4982080,4512341,5173169,33.06,-22.65,-32.52,P+V+,P+V-,P+V-,➡️ 中性,5,2,1,3.3,75.83,17.31,False,True,143.43,15.22,1.131,False,170.75,170.75,-4.43,-1.37,13.8,12.0,8.0,5224125.0,4619012.0,1.5,3643800.0,6072880.0,5468266.0,0.666,100.0,多頭,頭頭高·底底高,多頭確認,1,1,20,4.8,3,
GIS,Consumer Staples,General Mills,2026-08-28,41.55,15.42,24.72,-5.37,7.35,0.667,8034385,9967115,9626800,-17.84,7.33,40.52,P+V-,P+V+,P-V+,➡️ 中性,2,3,17,5.3,19.21,-12.14,False,True,37.05,10.02,1.012,False,48.32,51.33,-14.02,3.95,16.22,16.0,4.0,8053968.0,7956050.0,4.0,8925700.0,8043650.0,7903993.0,1.129,100.0,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,5,1,6,3.6,2,
MPC,Energy,Marathon Petroleum,2026-08-28,368.83,20.46,47.15,90.1,61.95,1.0,2515740,2371569,2480251,23.9,-8.4,19.67,P+V+,P+V-,P+V+,➡️ 中性,1,1,1,1.0,27.08,120.63,False,True,307.67,5.93,1.067,False,369.12,369.12,-0.08,2.25,16.86,13.0,7.0,2572523.0,2410285.0,1.857,1918600.0,2400650.0,2576446.0,0.745,100.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,1,1,11,3.0,1,
