sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,pct_90d,n_90d,pct_365d,n_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-08-31,63.96,58.52,55.89,54.12,9.3,14.45,18.17,15.02,1.0,25708540,27118900,24606800,1.102,1.35,8.79,12,8,24541733,28166375,0.871,1.5,93.56,1,2,2,1,4,1,1.5,1,1.6,1,,100.0,8,100.0,10,100.0,11,85.7,18,21,2026-08-28,12.02,3.0,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2026-08-31,170.54,162.1,148.81,156.49,5.21,14.6,8.98,9.44,1.0,8022570,7312600,7534953,0.97,-2.38,5.12,10,10,9235730,7541540,1.225,1.0,88.55,2,1,4,3,6,3,2.1,2,3.6,2,,42.9,7,55.6,9,50.0,10,72.9,43,59,2026-08-28,11.12,-1.68,weakening,減弱,高位但動能見頂,neutral,➡️,中性,無明顯訊號
XLB,材料,Materials,2026-08-31,52.69,52.0,50.96,52.63,1.33,3.4,0.12,1.24,1.0,10407570,12112700,10060760,1.204,-1.66,3.29,10,9,11813790,9726566,1.215,1.111,89.23,3,4,7,6,3,2,4.1,4,3.8,3,,12.5,8,20.0,10,18.2,11,64.0,16,25,2026-08-28,3.02,-1.78,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLK,資訊科技,Information Technology,2026-08-31,186.5,186.9,190.79,142.66,-0.21,-2.25,30.73,14.75,0.333,6241720,4874800,5911426,0.825,3.58,4.75,10,10,6553570,6375690,1.028,1.0,87.27,4,8,1,2,9,4,4.6,5,4.2,4,,12.5,8,20.0,10,27.3,11,60.3,44,73,2026-08-28,16.61,-1.86,weakening,減弱,高位但動能見頂,neutral,➡️,中性,無明顯訊號
XLF,金融,Financials,2026-08-31,57.71,57.88,51.4,51.42,-0.29,12.28,12.22,9.11,0.667,27064570,25204000,27062313,0.931,-0.88,0.58,10,10,26649080,27977730,0.953,1.0,81.66,5,3,3,4,7,7,4.0,3,5.8,5,,50.0,8,60.0,10,63.6,11,52.6,40,76,2026-08-28,9.66,-0.55,weakening,減弱,高位但動能見頂,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLRE,房地產,Real Estate,2026-08-31,44.11,45.17,43.61,42.78,-2.35,1.15,3.12,1.26,0.667,4575220,7404900,4991846,1.483,-2.69,-2.37,9,10,4566422,5620150,0.813,0.9,75.22,9,7,5,5,1,9,7.6,7,5.8,5,,0.0,8,0.0,10,9.1,11,23.3,7,30,2026-08-28,2.6,-1.34,weakening,減弱,高位但動能見頂,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLP,必需消費,Consumer Staples,2026-08-31,84.98,85.37,82.34,87.9,-0.46,3.21,-3.32,-0.97,0.333,9035150,7012600,8799640,0.797,-2.82,0.14,10,10,9173760,8214210,1.117,1.0,83.5,6,5,9,7,10,6,6.3,6,7.2,7,,14.3,7,11.1,9,10.0,10,58.8,20,34,2026-08-28,-0.04,-0.93,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLY,非必需消費,Consumer Discretionary,2026-08-31,116.59,118.29,120.63,116.62,-1.44,-3.35,-0.03,-1.21,0.0,5127020,4912700,4986066,0.985,-1.45,-1.37,8,12,6184037,4692350,1.318,0.667,81.66,8,9,8,9,5,7,8.3,9,7.4,8,,0.0,8,20.0,10,18.2,11,38.3,18,47,2026-08-28,0.85,-2.06,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLI,工業,Industrials,2026-08-31,175.13,186.4,172.71,174.68,-6.05,1.4,0.26,-1.03,0.667,6593740,7362100,5918593,1.244,-2.16,-4.38,7,13,6116728,5940761,1.03,0.538,72.6,10,6,6,8,2,10,8.0,8,7.6,9,,0.0,8,0.0,10,0.0,11,29.6,24,81,2026-08-28,1.65,-2.68,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLC,通訊服務,Communication Services,2026-08-31,111.46,112.04,115.39,115.83,-0.52,-3.41,-3.77,-2.87,0.0,3802620,3317200,3943680,0.841,-0.77,0.11,11,9,4029945,4154588,0.97,1.222,85.07,7,10,10,10,8,5,8.5,10,7.6,9,,12.5,8,30.0,10,27.3,11,66.7,16,24,2026-08-28,-1.33,-1.54,lagging,落後,資金持續流出,neutral,➡️,中性,無明顯訊號
