symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
FOXA,Communication Services,Fox Corporation (Class A),2026-08-31,67.35,14.74,2.31,20.9,14.71,1.0,5619995,6555938,5011881,18.16,89.05,38.59,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,2,12,3,5.2,29.29,36.35,False,True,58.99,5.78,0.998,False,76.02,76.39,-11.4,-1.74,15.66,12.0,7.0,5607766.0,5617485.0,1.714,6165600.0,5542530.0,5359400.0,1.15,100.0,60.34,多頭,頭頭高·底底高,,3,1,9,3.4,3,,🚀 暴漲中,False
FOX,Communication Services,Fox Corporation (Class B),2026-08-31,60.22,14.44,1.67,17.65,12.85,1.0,1051225,1722629,1598526,-14.88,16.83,-5.68,P+V-,P+V+,P+V-,⚠️ 量能背離,3,13,4,6.2,31.62,22.22,False,True,52.83,4.9,0.797,False,67.81,68.18,-11.19,-1.36,15.94,12.0,8.0,954133.0,1196862.0,1.5,1871500.0,1016350.0,936153.0,1.999,95.47,61.01,多頭,頭頭高·底底高,,4,10,2,6.0,6,吃老本,,False
T,Communication Services,AT&T,2026-08-31,25.89,10.74,5.79,-4.88,1.69,0.667,35121800,61701404,50453818,-54.96,57.38,14.27,P+V-,P+V+,P-V+,➡️ 中性,4,7,16,7.3,10.49,3.42,False,True,23.17,5.45,0.75,False,28.75,29.79,-9.95,0.78,9.75,14.0,6.0,31928371.0,42573133.0,2.333,37385800.0,28750900.0,30290466.0,1.234,100.0,67.07,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,11,1,8,6.4,7,剛爆發,,False
ABNB,Consumer Discretionary,Airbnb,2026-08-31,183.22,21.63,36.22,45.81,37.37,1.0,5749010,4327803,4100893,72.23,11.71,-14.48,P+V+,P+V+,P+V-,🚀 健康多頭,1,4,2,2.1,9.48,-14.13,False,True,159.59,7.16,1.31,False,193.45,193.45,-5.29,-3.67,21.63,11.0,9.0,6503390.0,4963866.0,1.222,7598300.0,4974830.0,5107326.0,1.488,100.0,59.3,擴散,頭頭高·底底低,,2,1,6,2.4,1,,,False
CVNA,Consumer Discretionary,Carvana,2026-08-31,73.46,7.98,0.63,9.68,6.99,1.0,8562965,10404824,11869675,-20.98,-21.97,-37.53,P+V-,P+V-,P+V-,⚠️ 量能衰竭,5,22,14,11.9,10.09,11.71,False,True,68.05,16.8,0.958,False,97.38,97.38,-24.56,5.08,17.8,13.0,7.0,8701261.0,9080385.0,1.857,6085700.0,9505170.0,8788333.0,0.692,100.0,55.2,多頭,頭頭高·底底高,空轉多預警,11,1,24,9.6,6,剛爆發,,False
EXPE,Consumer Discretionary,Expedia Group,2026-08-31,317.12,6.56,39.56,60.98,42.02,1.0,1572325,1567350,1797813,6.76,-22.73,-15.5,P+V+,P+V-,P+V-,➡️ 中性,6,2,1,3.8,9.65,42.34,False,True,288.21,8.02,1.07,False,341.51,342.0,-7.14,-1.26,7.75,12.0,8.0,1614691.0,1508775.0,1.5,1344200.0,1352580.0,1339813.0,1.003,95.37,53.81,多頭,頭頭高·底底高,,1,7,18,6.8,3,吃老本,,False
EL,Consumer Staples,Estée Lauder Companies (The),2026-08-31,102.3,20.81,13.01,-10.64,3.13,0.667,3721450,3306176,3898395,71.5,-26.38,3.36,P+V+,P+V-,P-V+,➡️ 中性,1,6,21,6.5,22.12,40.2,False,True,86.67,24.85,1.612,False,120.79,121.64,-15.31,0.35,21.93,10.0,10.0,4593820.0,2849080.0,1.0,4134500.0,5042150.0,4252006.0,0.972,100.0,67.25,多頭,頭頭高·底底高,多頭確認,8,1,20,7.6,4,剛爆發,,False
GIS,Consumer Staples,General Mills,2026-08-31,41.2,14.44,23.67,-6.16,6.45,0.667,8121420,9993895,9640190,-16.95,7.62,40.71,P+V-,P+V+,P-V+,➡️ 中性,2,3,18,5.5,19.21,-12.14,False,True,37.22,10.58,0.944,False,48.32,51.33,-14.74,0.68,14.44,15.0,5.0,8020653.0,8498120.0,3.0,10666400.0,8162310.0,8031400.0,1.328,100.0,64.78,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,5,1,12,4.8,1,,,False
SJM,Consumer Staples,J.M. Smucker Company (The),2026-08-31,131.16,12.67,26.96,22.41,21.11,1.0,1236935,1530198,1860641,-20.44,-30.16,2.04,P+V-,P+V-,P+V+,⚠️ 頂部背離,3,1,2,2.2,46.18,5.01,False,True,116.7,14.67,1.033,False,135.89,135.89,-3.48,5.5,11.01,13.0,7.0,1250969.0,1210871.0,1.857,1246400.0,1482340.0,1328326.0,0.938,100.0,70.22,多頭,頭頭高·底底高,多頭確認,2,1,21,5.4,2,,,False
MPC,Energy,Marathon Petroleum,2026-08-31,373.32,21.92,48.94,92.42,63.93,1.0,2601135,2397844,2493389,28.11,-7.38,20.31,P+V+,P+V-,P+V+,➡️ 中性,1,1,1,1.0,27.08,120.63,False,True,307.76,7.98,1.122,False,376.56,376.56,-0.86,3.49,18.29,13.0,7.0,2703900.0,2410285.0,1.857,3626500.0,2571440.0,2690306.0,1.348,100.0,73.16,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,1,1,10,2.8,1,,,False
