symbol,market_cap_usd
NVDA,5271048467880
AAPL,4849208028263
GOOGL,4139832940293
GOOG,4102531788350
MSFT,3680323147961
AMZN,2769709585851
AVGO,1728006228213
META,1650860533620
TSLA,1443322609305
MU,1101451975473
BRK-B,1092554047111
LLY,994915843132
JPM,946925697448
WMT,850100921829
AMD,842569351398
V,691647679887
XOM,682536288827
JNJ,640020837031
INTC,544151688575
MA,498616099887
ABBV,454361187690
CSCO,442082255240
BAC,438375385398
ORCL,432877178363
CVX,419900792043
PLTR,401863459343
COST,401246326156
KO,379872076603
CAT,376276077255
LRCX,373168950147
AMAT,362269289005
DELL,360690200977
MRK,355099995787
UNH,340269227262
PG,337670400557
MS,336698009347
GE,335817486757
NFLX,322288937276
HD,308026685388
GS,299667805324
PM,297788679850
WFC,273036902815
PANW,269479745025
RTX,266424820034
GEV,254953152285
ANET,251727822875
TXN,245389664376
SNDK,239153471708
KLAC,236014610083
C,232861786501
IBM,229211869417
TMO,225479292656
AXP,219266351325
LIN,214918172156
MRVL,212184164614
CRWD,211688294859
VZ,210273175509
APH,206943938907
AMGN,204007490386
CRM,203873561004
TMUS,195580217162
QCOM,194354968123
STX,188774854546
PEP,186062027183
SCHW,185471255326
DIS,183978494677
ADI,183543706241
DE,182196673271
MCD,178700714959
T,178573166379
GILD,178206356390
ABT,176412571746
NEE,171666171925
WELL,169781173713
UNP,168955068005
COP,167332689297
BLK,167204599260
BA,166333368296
ETN,165171169104
WDC,161226696697
PFE,157994947973
UBER,146390280132
GLW,143043728833
DHR,140695628418
TJX,139214850576
NOW,137017729597
BKNG,134766856170
NEM,133618714313
ISRG,132258335540
VRTX,130643899285
CB,130496802306
BMY,129998359461
PLD,129007755249
COF,127792051872
PGR,126458979162
SPGI,121077305480
CVS,121067339813
LMT,120978205378
PH,119774084006
MDT,116350381303
MPC,115586469757
MO,115178941620
FTNT,114510695197
SBUX,112563597564
ACN,112536150110
VLO,112412643189
LOW,110426656128
BNY,110365486222
APP,108830964352
ADP,106569705707
SYK,105697387619
PSX,103533957561
MCK,102775572026
EQIX,102393579105
FCX,102057764921
HOOD,101209691197
CEG,100889026170
ABNB,100341588658
SO,100277137639
ADBE,100261423301
CME,99078473199
VRT,98965058811
USB,97907953104
PWR,97810407187
PNC,97451762191
TT,97364653868
BX,96462829276
GD,96291304049
DUK,93112034460
HCA,92433150938
HWM,91568789467
ELV,90807509373
KKR,90733008192
CSX,90678648600
CMCSA,89425644346
WMB,89107748468
JCI,88444308707
ICE,88363488827
DASH,87504517054
MAR,87275869567
INTU,85935082477
WM,85323205860
UPS,85316376004
MMM,85078727762
MNST,85022849546
EMR,84891583361
MRSH,84423447169
SLB,83201071568
LITE,83154593627
AMT,82870997380
HPE,82422288330
MCO,82252310464
CTAS,80634166541
REGN,80458292566
MDLZ,80151089626
CDNS,79690471065
DDOG,79430988469
EOG,78488140505
SHW,78486137207
TRV,78257350800
GM,77439143424
ECL,77421151523
MSI,77146584820
CMI,76644703137
ITW,76371969042
APO,76168254124
SNPS,76152571323
CI,74188161429
FDX,73838806704
NOC,73726444441
ROST,73710612356
NSC,71935321153
TGT,70792239199
WBD,70300115419
DLR,69962940616
RCL,69574989049
ORLY,69425014922
CL,69194603989
HLT,68912625342
KMI,68719113825
RSG,68205880401
AEP,67140526418
SPG,66274696049
APD,64897242376
PCAR,64600772448
AON,64208248135
ALL,64152592192
HON,64135980617
TDG,63032924019
BSX,62287884364
TRGP,62238603845
MET,61730228300
AJG,61603870997
TFC,61569961739
URI,61565290415
TEL,61455826783
OXY,61437711906
COR,61364292846
OKE,60873775890
MPWR,60665065860
GWW,60432792320
COHR,59801292004
NXPI,59667085620
FIX,59507273469
TER,59365709780
CRH,58910945479
NUE,58858354962
BKR,58627331996
AFL,57794854781
KEYS,57651682940
MRNA,57477991426
FANG,57395657108
D,56606290614
FAST,56594579950
O,56299972963
CTVA,55977745418
F,55706712532
AME,55451415966
PSA,55401705467
DVN,55252999496
CAH,54555290220
GRMN,54513628940
NKE,54496641684
SRE,54496052607
STT,53127319674
DAL,52550658735
NDAQ,50973147917
VMRK,50713484233
ETR,50324303053
HONA,50160936517
VST,49801551872
CVNA,49789421897
FITB,49607675666
CIEN,49567753040
AMP,49255484952
HUM,49208908752
EW,48580247581
BDX,48443994042
EBAY,47948750000
WAB,47838931426
CARR,47725150345
XYZ,47588971399
ROK,47572143938
XEL,47159890103
AZO,46963964996
COIN,46240057675
VTR,46160041750
PYPL,45955359195
CMG,45808132565
LHX,45723135562
WDAY,44753699264
EXC,44465761058
ADSK,44391598724
IQV,43087340191
FERG,43050966342
FLEX,42769476341
KDP,42716328502
VEEV,42484881251
ADM,41795270609
A,41423804453
IBKR,41397753728
PAYX,41222539859
PRU,41137799263
CBRE,40688223531
MSCI,40320145935
MCHP,40291243215
TTWO,40288676281
WAT,40093211671
SYY,39865579052
IDXX,39760830206
LYV,39638058353
AIG,39389543378
ED,39371955930
NTAP,39142379076
AXON,38940342208
DHI,38568007535
YUM,38443574511
ROP,38424966479
ODFL,37280645677
HIG,36936106358
MLM,36217043437
PEG,36073485986
KR,35833740552
UAL,35644247429
EL,35137523138
HSY,34824436342
MTB,34759281655
NTRS,34613380437
EME,34434834130
STLD,34368641259
WEC,34321716108
IRM,34289409977
KVUE,34151353562
HBAN,34064195199
EQT,33821649929
EXPE,33705798272
RJF,33367063681
JBL,33330675862
CNC,32811146995
ACGL,32788705467
VMC,32749731206
KMB,32642633087
CCI,32172941465
BIIB,32084779763
HPQ,31995543167
RMD,31485951446
DXCM,31332263857
CCL,31159517457
PCG,30392663722
RDDT,30354398204
ZTS,30152926742
ARES,29941208902
HAL,29859392480
CFG,29684541432
ON,29642718956
CBOE,29349294472
WTW,29311310676
KHC,29171264899
EXR,29079141834
AEE,29040857452
GEHC,28876302228
CPRT,28851086955
CTSH,28380000000
IR,28296798475
TDY,27989090782
LVS,27741042896
FOXA,27723648193
DTE,27588316569
ATO,27577242376
DG,27484440102
FISV,27428528442
AWK,27362994980
VICI,27339755780
ECHO,27056304365
CPAY,26803561583
FE,26683030720
WSM,26642654136
VRSN,26460983227
Q,26443960154
OTIS,26304250744
CINF,26060572509
WRB,25948804843
DGX,25939947538
SMCI,25939607395
MTD,25917690189
ES,25809752879
CNP,25762550865
RF,25668635300
PPL,25646729559
DOV,25461296947
TPL,25458555916
JBHT,25395256146
LH,25265894692
EXPD,25036194590
XYL,24973749197
PFG,24871465817
SYF,24724929436
INCY,24621695454
FOX,24574570792
WST,24366200850
HUBB,24324115365
NRG,23850481208
DRI,23831279097
TPR,23625919500
BG,23517302549
PPG,23452650000
ULTA,23378931246
GPN,23363157895
FFIV,23313976617
KEY,23306087782
VLTO,22940953298
VRSK,22933488917
CASY,22747872900
EXE,22686072188
TROW,22673341891
SW,22669880724
PHM,22526916512
OMC,22518340154
FSLR,22464409654
CHD,22332748205
L,22239691845
DLTR,22172272089
BRO,22147860346
EIX,21549582824
IFF,21345923533
FICO,21282093869
DOW,20969551336
STZ,20911818722
PKG,20884640741
CMS,20743951745
LYB,20574286719
STE,20549122648
RL,20203741204
CF,20138566067
NI,19858583667
EFX,19854947424
SBAC,19676161891
FIS,19669023359
AMCR,19566469459
SNA,19420431560
BR,19400523374
CDW,19226429105
LUV,19196530628
FDXF,19184671280
LEN,19175252935
GIS,19166465755
BBY,19043275618
VTRS,18963235427
EVRG,18818893211
TSN,18638443944
GPC,18429091439
IP,18196021915
GEN,18113243725
CHRW,17852535054
ZBH,17832066137
NWS,17547413054
ESS,17537671425
NDSN,17521623175
LNT,17439489408
CHTR,17387080664
TSCO,17199534047
DD,17149107106
BEN,17096788796
J,16749773406
ROL,16710179660
ZBRA,16689311322
FTV,16672848819
IEX,16528738377
NVR,16417562269
INVH,16265764184
LDOS,16208715225
WY,15899435775
BALL,15855731488
NWSA,15793208931
APA,15671222881
KIM,15555605918
AKAM,15347496806
HST,15237166476
SOLV,14886064581
MAA,14478380120
EG,14252377327
IVZ,14251612359
PTC,14190448681
DOC,13997402851
AIZ,13931990805
TXT,13930940277
TKO,13913772881
RVTY,13871305235
ALB,13867953902
MKC,13797461566
TYL,13787402637
REG,13664455720
MAS,13511282041
SWK,13476724720
TRMB,13441210149
SWKS,13294270060
GL,13290453598
CRL,13283818988
ALLE,13040391652
SJM,12940560323
HAS,12911210638
AVY,12836995862
ERIE,12812586292
LII,12650589772
GDDY,12420340292
CSGP,12342318159
BAX,12304504381
BF-B,12031420713
CPT,11921613107
PSKY,11863234841
PNW,11647054002
DVA,11582890194
IT,11340924368
HRL,11320715788
TECH,11309731755
JKHY,11296543058
UDR,11282799133
DECK,11067499061
GNRC,11033464760
HII,11021072110
LULU,10956971309
ALGN,10714230998
CLX,10612905257
AES,10547602548
BXP,10330102185
DPZ,10308268827
UHS,10303871025
COO,10251271870
MGM,10205905607
HSIC,10065684718
FRT,9879468621
APTV,9455622083
FDS,9236726868
PODD,9151980565
PNR,9143641805
WYNN,9030809926
ARE,8800952360
MOS,8007791492
AOS,7799792921
TAP,7258651668
NCLH,6805163737
TTD,6738082053
BLDR,6495597994
