sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-25,2,199.18,100.0,2,2,-129.3,-64.65,4.18,-0.44,-4.63,⚠️ Price Leading
電子零組件業,2026-08-25,15,82.96,93.3,14,15,39878.3,2658.55,1.31,1.14,-0.17,🚀 Confirmed
半導體業,2026-08-25,2,73.63,100.0,2,2,17271.0,8635.5,1.08,0.24,-0.83,🚀 Confirmed
化學生技醫療,2026-08-25,2,57.73,100.0,2,2,3942.7,1971.35,0.68,-0.28,-0.96,⚠️ Price Leading
塑膠工業,2026-08-25,3,51.25,66.7,2,3,-24070.7,-8023.57,0.52,-1.39,-1.91,⚠️ Price Leading
生技醫療業,2026-08-25,2,37.9,100.0,2,2,1382.7,691.35,0.19,-0.38,-0.57,⚠️ Price Leading
電子工業,2026-08-25,53,37.62,90.6,48,53,19759.8,372.83,0.19,0.34,0.16,🚀 Confirmed
電腦及週邊設備業,2026-08-25,14,35.83,92.9,13,14,103892.7,7420.91,0.14,3.66,3.52,🚀 Confirmed
油電燃氣業,2026-08-25,1,33.17,0.0,0,1,-2769.2,-2769.2,0.07,-0.55,-0.62,⚠️ Price Leading
航運業,2026-08-25,5,27.77,80.0,4,5,66836.8,13367.36,-0.06,2.2,2.26,💰 Capital Leading
金融保險,2026-08-25,19,23.27,68.4,13,19,38641.6,2033.77,-0.17,1.09,1.26,💰 Capital Leading
電子通路業,2026-08-25,3,22.01,100.0,3,3,-5682.9,-1894.3,-0.2,-0.66,-0.46,❄️ Weak
建材營造,2026-08-25,1,18.13,100.0,1,1,2186.2,2186.2,-0.3,-0.35,-0.05,❄️ Weak
玻璃陶瓷,2026-08-25,1,18.1,100.0,1,1,649.7,649.7,-0.3,-0.41,-0.11,❄️ Weak
電機機械,2026-08-25,9,18.06,100.0,9,9,3528.2,392.02,-0.3,-0.3,0.0,❄️ Weak
其他電子業,2026-08-25,2,17.39,100.0,2,2,-3788.4,-1894.2,-0.32,-0.59,-0.27,❄️ Weak
鋼鐵工業,2026-08-25,2,13.87,100.0,2,2,6944.0,3472.0,-0.4,-0.16,0.24,❄️ Weak
電器電纜,2026-08-25,1,13.41,100.0,1,1,5631.4,5631.4,-0.41,-0.21,0.2,❄️ Weak
其他,2026-08-25,2,11.98,100.0,2,2,2517.0,1258.5,-0.45,-0.34,0.11,❄️ Weak
橡膠工業,2026-08-25,1,6.78,100.0,1,1,11.3,11.3,-0.58,-0.44,0.14,❄️ Weak
食品工業,2026-08-25,2,6.33,100.0,2,2,13717.8,6858.9,-0.59,0.1,0.69,💰 Capital Leading
汽車工業,2026-08-25,1,5.33,0.0,0,1,685.1,685.1,-0.61,-0.41,0.2,❄️ Weak
水泥工業,2026-08-25,2,4.73,100.0,2,2,1254.2,627.1,-0.63,-0.39,0.24,❄️ Weak
貿易百貨,2026-08-25,1,4.67,0.0,0,1,2718.7,2718.7,-0.63,-0.33,0.3,❄️ Weak
居家生活,2026-08-25,1,-0.45,0.0,0,1,257.0,257.0,-0.76,-0.43,0.33,❄️ Weak
紡織纖維,2026-08-25,2,-1.37,50.0,1,2,3681.5,1840.75,-0.78,-0.29,0.49,❄️ Weak
運動休閒,2026-08-25,1,-5.35,100.0,1,1,-63.8,-63.8,-0.88,-0.44,0.44,❄️ Weak
