sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant
化學生技醫療,2026-09-03,1,75.96,8.87,59.82,117.58,100.0,1,1,-1443926.0,-1949.3,-1949.3,31.4,44.56,2.36,-0.51,-2.87,⚠️ Price Leading
半導體業,2026-09-03,2,63.4,11.75,9.73,116.05,50.0,1,2,2535298.0,15524.2,7762.1,63.12,0.28,1.83,0.21,-1.62,🚀 Confirmed
塑膠工業,2026-09-03,3,55.19,17.88,52.78,75.07,100.0,3,3,156760385.0,9982.5,3327.5,56.06,-0.87,1.48,-0.02,-1.5,⚠️ Price Leading
電子零組件業,2026-09-03,10,45.67,10.51,16.91,77.63,70.0,7,10,63617999.0,46266.3,4626.63,62.12,-16.45,1.08,1.47,0.39,🚀 Confirmed
電腦及週邊設備業,2026-09-03,10,36.57,11.32,8.68,63.13,100.0,10,10,337636641.0,70466.59999999999,7046.66,23.62,12.95,0.7,2.47,1.77,🚀 Confirmed
油電燃氣業,2026-09-03,1,30.19,7.75,36.07,38.48,100.0,1,1,-25077053.0,-1918.4,-1918.4,31.37,-1.18,0.43,-0.51,-0.94,⚠️ Price Leading
電子工業,2026-09-03,36,29.91,5.2,-0.53,57.48,63.9,23,36,65841117.0,-28195.799999999992,-783.22,29.25,0.66,0.42,-1.59,-2.01,⚠️ Price Leading
金融保險,2026-09-03,15,28.26,9.23,25.51,39.14,100.0,15,15,1079218863.0,54161.1,3610.74,20.75,7.51,0.35,1.8,1.45,🚀 Confirmed
航運業,2026-09-03,5,17.47,12.73,18.25,19.46,80.0,4,5,444579748.0,52453.899999999994,10490.78,12.97,4.5,-0.1,1.73,1.83,💰 Capital Leading
其他電子業,2026-09-03,1,11.0,-8.49,-11.04,31.76,0.0,0,1,-7054221.0,-5022.6,-5022.6,6.92,4.08,-0.38,-0.64,-0.26,❄️ Weak
電子通路業,2026-09-03,3,9.32,-10.42,-13.0,30.37,0.0,0,3,-56254256.0,-8415.099999999999,-2805.03,6.78,2.54,-0.45,-0.78,-0.33,❄️ Weak
其他,2026-09-03,1,9.06,2.29,0.53,16.71,100.0,1,1,3966956.0,442.3,442.3,2.69,6.37,-0.46,-0.41,0.04,❄️ Weak
紡織纖維,2026-09-03,1,6.5,5.82,10.78,4.7,100.0,1,1,93866290.0,2731.5,2731.5,-7.15,13.65,-0.57,-0.32,0.25,❄️ Weak
電機機械,2026-09-03,4,5.62,0.39,-5.95,14.02,50.0,2,4,24574079.0,-1538.6000000000004,-384.65,9.66,-4.04,-0.6,-0.49,0.11,❄️ Weak
食品工業,2026-09-03,1,5.08,-0.13,6.82,6.82,0.0,0,1,91914219.0,6948.7,6948.7,-0.57,5.65,-0.63,-0.15,0.48,❄️ Weak
電器電纜,2026-09-03,1,2.32,8.83,-8.3,4.37,100.0,1,1,136904914.0,5147.6,5147.6,0.87,1.45,-0.74,-0.22,0.52,❄️ Weak
汽車工業,2026-09-03,1,0.45,0.97,11.88,-5.53,100.0,1,1,148254.0,77.2,77.2,0.84,-0.39,-0.82,-0.43,0.39,❄️ Weak
水泥工業,2026-09-03,1,-1.05,0.41,3.44,-4.02,100.0,1,1,-21679468.0,-530.1,-530.1,-0.89,-0.16,-0.88,-0.45,0.43,❄️ Weak
貿易百貨,2026-09-03,1,-1.89,-2.04,-8.58,1.53,0.0,0,1,1666748.0,360.9,360.9,-4.69,2.8,-0.92,-0.42,0.5,❄️ Weak
鋼鐵工業,2026-09-03,1,-2.91,-0.26,-0.52,-5.43,0.0,0,1,85533969.0,1625.1,1625.1,9.69,-12.6,-0.96,-0.36,0.6,❄️ Weak
玻璃陶瓷,2026-09-03,1,-7.55,10.36,-14.95,-12.8,100.0,1,1,27838490.0,1631.3,1631.3,-7.57,0.02,-1.16,-0.36,0.79,❄️ Weak
