stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2330,2330,台積電,電子工業,2026-09-04,2410.0,1.26,1.05,22.03,11.59,1.0,-0.41,1.69,13,7,18695477,22144333,1.857,0.844,93.48,52.35,True,2390.7,3.95,False,2535.0,-4.93,P+V-,P+V-,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,空轉多預警,,14102018,19847300,7578596.0,-3683498.0,2035671.0,5930769.0,14293.2,19.0,7.0,13.0,11.0,剛爆發
2454,2454,聯發科,電子工業,2026-09-04,4415.0,11.49,-0.34,132.37,68.97,0.667,10.79,13.21,9,11,7714646,9278681,0.818,0.831,89.06,64.0,True,3891.2,22.43,False,4970.0,-11.17,P+V-,P-V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,🔥 追高風險,9051589,8214554,9767995.0,-6020162.0,-568879.0,3178954.0,14035.1,3.0,12.0,7.5,4.0,吃老本
2308,2308,台達電,電子零組件業,2026-09-04,1825.0,0.55,-24.74,28.07,7.99,0.667,-0.27,10.61,10,8,10048811,11761103,1.25,0.854,89.96,53.0,True,1797.1,12.07,False,2585.0,-29.4,P+V-,P-V+,P+V-,⚠️ 量能背離,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,9195063,10096129,-9522753.0,-3763721.0,713205.0,-12573269.0,-22946.2,7.0,4.0,5.5,5.0,
2317,2317,鴻海,電子工業,2026-09-04,256.0,-3.21,-12.63,7.11,-0.4,0.333,1.19,-1.54,8,12,38010900,39615895,0.667,0.959,76.34,54.11,True,248.19,7.4,False,314.0,-18.47,P-V-,P-V-,P+V+,😴 弱勢縮量,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,49402342,33742221,-9320940.0,-4994847.0,455084.0,-13860703.0,-3548.3,23.0,23.0,23.0,26.0,
3711,3711,日月光投控,電子工業,2026-09-04,588.0,-6.67,-0.84,58.7,27.47,0.333,-5.31,0.51,8,11,18219891,19007634,0.727,0.959,75.87,46.81,False,617.44,10.9,False,729.0,-19.34,P-V-,P-V-,P+V+,😴 弱勢縮量,收斂,頭頭低·底底高,空轉多預警,,15751048,16659287,20798715.0,-31187794.0,1834815.0,-8554264.0,-5029.9,9.0,24.0,16.5,18.0,吃老本
2881,2881,富邦金,金融保險,2026-09-04,150.5,17.12,32.02,61.83,43.2,1.0,4.51,18.5,11,8,21183644,17088042,1.375,1.24,100.0,72.08,True,129.95,14.36,False,151.5,-0.66,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,多頭確認,,19146551,23322390,43635758.0,6539309.0,-224785.0,49950282.0,7517.5,3.0,1.0,2.0,3.0,
2383,2383,台光電,電子零組件業,2026-09-04,5415.0,2.36,12.11,127.52,67.38,1.0,-1.37,3.34,10,10,2105843,2169907,1.0,0.97,83.44,48.69,True,5310.4,12.78,False,6470.0,-16.31,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,1701788,1964742,2336488.0,-1555059.0,348270.0,1129699.0,6117.3,3.0,5.0,4.0,4.0,
1303,1303,南亞,塑膠工業,2026-09-04,225.5,21.89,103.15,151.96,107.24,1.0,2.27,19.95,9,10,110769559,103973466,0.9,1.065,95.02,59.07,True,190.93,34.79,False,250.0,-9.8,P+V+,P+V+,P+V-,🚀 健康多頭,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 多頭確認,🔥 追高風險,67299234,118412492,-45257402.0,38916005.0,2262494.0,-4078903.0,-919.8,1.0,3.0,2.0,2.0,
2408,2408,南亞科,電子工業,2026-09-04,496.0,-1.2,25.57,74.04,43.11,0.667,-8.15,8.53,10,9,92910465,91404317,1.111,1.016,86.32,51.24,True,455.64,19.18,False,569.0,-12.83,P-V+,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,,75118695,89051943,52912891.0,-960034.0,-2623325.0,49329532.0,24467.4,6.0,15.0,10.5,7.0,吃老本
3037,3037,欣興,電子零組件業,2026-09-04,902.0,-9.07,-7.11,87.53,39.72,0.333,-18.74,-5.55,10,8,22222900,32763081,1.25,0.678,69.79,39.88,False,952.22,34.37,False,1230.0,-26.67,P-V-,P-V+,P+V-,➡️ 中性,擴散,頭頭高·底底低,,,40890597,30259566,68988072.0,-11688823.0,1710373.0,59009622.0,53226.7,5.0,6.0,5.5,5.0,
