sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,point_5d_avg,acceleration
半導體業,2026-09-04,2,63.12,13.48,9.2,114.91,50.0,1,2,2535298.0,15551.4,,
塑膠工業,2026-09-04,3,56.06,19.77,53.17,75.65,100.0,3,3,156760385.0,9996.5,,
化學生技醫療,2026-09-04,1,54.6,-1.5,39.66,90.13,0.0,0,1,-1443926.0,-1891.5,,
電子零組件業,2026-09-04,10,46.99,9.47,18.74,79.87,70.0,7,10,63617999.0,46314.3,,
油電燃氣業,2026-09-04,1,31.37,13.19,35.83,38.23,100.0,1,1,-25077053.0,-1958.5,,
電子工業,2026-09-04,36,30.39,4.15,-0.26,58.83,47.2,17,36,65841117.0,-30058.100000000002,,
電腦及週邊設備業,2026-09-04,10,28.52,5.39,1.81,53.43,90.0,9,10,337636641.0,74770.6,,
金融保險,2026-09-04,15,24.36,8.39,20.86,34.1,86.7,13,15,1079218863.0,54552.1,,
航運業,2026-09-04,5,12.14,10.7,11.96,12.95,80.0,4,5,444579748.0,51777.9,,
其他電子業,2026-09-04,1,11.14,-8.91,-10.79,32.14,0.0,0,1,-7054221.0,-5191.9,,
電子通路業,2026-09-04,3,6.78,-13.39,-14.86,27.69,0.0,0,3,-56254256.0,-8529.1,,
電機機械,2026-09-04,4,6.71,1.16,-5.71,15.71,50.0,2,4,24574079.0,-1639.5000000000002,,
其他,2026-09-04,1,3.39,2.29,-6.3,8.78,100.0,1,1,3966956.0,442.3,,
紡織纖維,2026-09-04,1,3.2,6.97,5.81,0.0,100.0,1,1,93866290.0,2736.2,,
食品工業,2026-09-04,1,2.07,0.13,2.72,2.72,100.0,1,1,91914219.0,6948.7,,
電器電纜,2026-09-04,1,0.87,1.05,-7.69,5.06,100.0,1,1,136904914.0,5257.1,,
汽車工業,2026-09-04,1,0.84,4.86,11.02,-6.26,100.0,1,1,148254.0,79.9,,
水泥工業,2026-09-04,1,-3.12,0.2,0.61,-6.64,100.0,1,1,-21679468.0,-533.3,,
鋼鐵工業,2026-09-04,1,-3.73,-2.8,-0.78,-5.68,0.0,0,1,85533969.0,1633.7,,
貿易百貨,2026-09-04,1,-4.69,-1.59,-12.2,-2.48,0.0,0,1,1666748.0,360.0,,
玻璃陶瓷,2026-09-04,1,-7.57,8.04,-14.22,-12.05,100.0,1,1,27838490.0,1645.3,,
