supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
CCL / High-Speed Materials,2026-09-09,4,98.2,75.0,3,4,8766.9,2191.72,3,100.0,2.47,0.28,-2.19,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Display & Optical,2026-09-09,3,78.8,100.0,3,3,16101.9,5367.3,2,100.0,1.68,0.46,-1.22,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Biotech / Innovative Drug / CDMO,2026-09-09,1,68.13,0.0,0,1,-5543.8,-5543.8,1,,1.25,-0.08,-1.33,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Passive Components,2026-09-09,2,55.44,50.0,1,2,-47041.5,-23520.75,2,100.0,0.73,-1.13,-1.86,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI / HPC Semiconductor,2026-09-09,9,47.98,77.8,7,9,64708.2,7189.8,8,100.0,0.43,1.69,1.26,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
PCB / HDI / IC Substrate,2026-09-09,10,46.35,50.0,5,10,28158.2,2815.82,7,100.0,0.36,0.77,0.41,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Thermal / Liquid Cooling,2026-09-09,4,44.77,75.0,3,4,4122.7,1030.67,2,100.0,0.3,0.16,-0.13,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
Advanced Packaging,2026-09-09,8,42.38,50.0,4,8,73550.9,9193.86,3,100.0,0.2,1.91,1.71,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Memory / HBM,2026-09-09,5,42.06,60.0,3,5,26461.8,5292.36,5,100.0,0.19,0.73,0.54,🚀 Confirmed,💰 Capital Leading,💰 Capital Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
AI Server / ODM,2026-09-09,13,39.81,38.5,5,13,-83133.2,-6394.86,6,100.0,0.09,-2.04,-2.13,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Data Center Power / PSU,2026-09-09,4,33.43,50.0,2,4,-41506.4,-10376.6,4,100.0,-0.16,-0.99,-0.82,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Semiconductor Equipment & Materials,2026-09-09,8,32.33,25.0,2,8,-5395.4,-674.43,6,83.3,-0.21,-0.08,0.13,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Robotics / Automation,2026-09-09,4,25.94,25.0,1,4,586.1,146.52,3,100.0,-0.47,0.07,0.54,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
Shipping / Logistics,2026-09-09,4,22.79,100.0,4,4,45320.5,11330.13,2,100.0,-0.6,1.2,1.8,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-09-09,8,19.13,62.5,5,8,-21024.6,-2628.07,4,100.0,-0.75,-0.47,0.27,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
EV / Auto Electronics,2026-09-09,4,14.93,50.0,2,4,-55144.7,-13786.17,3,100.0,-0.92,-1.33,-0.41,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Optical Communication / AI Networking,2026-09-09,1,12.98,0.0,0,1,-16768.3,-16768.3,1,,-1.0,-0.36,0.63,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Energy Storage / Battery,2026-09-09,1,12.66,0.0,0,1,-42412.0,-42412.0,1,,-1.01,-1.01,-0.0,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Smart Grid / Transformer,2026-09-09,4,11.79,75.0,3,4,3546.3,886.58,3,66.7,-1.04,0.15,1.19,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Steel,2026-09-09,1,-0.25,100.0,1,1,259.1,259.1,1,,-1.53,0.07,1.6,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
