stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,trade_value_20d_est_NTD_M,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2330,2330,台積電,電子工業,2026-09-18,2460.0,3.88,-1.7,32.29,16.69,0.667,2.38,2.38,12,8,18189611,17939377,1.5,1.014,92.62,58.19,True,2383.51,5.14,False,2527.56,-2.67,P+V-,P-V-,P+V-,⚠️ 量能背離,多頭,頭頭高·底底高,空轉多預警,,35352856,20072810,874009.3,-61917.0,-2066105.0,4838471.0,2710449.0,6667.7,21.0,20.0,20.5,24.0,
2454,2454,聯發科,電子工業,2026-09-18,4710.0,25.1,6.12,173.88,94.74,1.0,2.73,24.27,9,11,7389571,6887932,0.818,1.073,96.7,63.21,True,3994.1,9.21,False,4940.48,-4.67,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,9019674,7033410,623249.2,12505517.0,2084169.0,1796234.0,16385920.0,77177.7,4.0,14.0,9.0,7.0,吃老本
2308,2308,台達電,電子零組件業,2026-09-18,1735.0,0.0,-19.3,21.12,5.73,0.333,7.1,-0.86,11,8,9698186,10166513,1.375,0.954,89.64,49.0,False,1753.4,18.93,False,2571.55,-32.53,P-V-,P-V+,P+V-,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,12081302,10545519,340528.3,-9313210.0,-3987402.0,1732475.0,-11568137.0,-20070.7,12.0,6.0,9.0,10.0,剛爆發
2317,2317,鴻海,電子工業,2026-09-18,250.5,2.87,-3.93,21.68,10.58,0.667,1.01,2.04,9,9,28640986,29411761,1.0,0.974,83.67,50.1,True,249.69,6.19,False,304.92,-17.85,P+V-,P-V-,P+V-,⚠️ 量能背離,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,43948586,27909122,150204.7,-201381.0,5133984.0,-1500393.0,3432210.0,859.8,27.0,30.0,28.5,31.0,
3711,3711,日月光投控,電子工業,2026-09-18,638.0,7.77,-4.48,88.25,44.95,0.667,3.24,8.69,11,8,16312195,16265429,1.375,1.003,94.68,56.74,True,607.94,9.83,False,722.4,-11.68,P+V-,P-V-,P+V-,⚠️ 量能背離,多頭,頭頭高·底底高,,,24914833,16385103,195872.6,36768774.0,-11622755.0,3224953.0,28370972.0,18100.7,9.0,16.0,12.5,10.0,吃老本
2881,2881,富邦金,金融保險,2026-09-18,150.5,14.02,12.35,73.28,43.23,1.0,1.35,12.31,9,9,21167523,17869745,1.0,1.185,93.66,62.4,True,135.0,7.65,False,155.5,-3.22,P+V+,P+V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,,,27506101,16759264,57670.8,16127462.0,11232104.0,1689760.0,29049326.0,4371.9,3.0,13.0,8.0,12.0,吃老本
2303,2303,聯電,電子工業,2026-09-18,156.0,26.32,-0.83,161.4,87.07,0.667,11.03,33.91,12,8,216879420,148382390,1.5,1.462,100.0,67.71,True,130.2,18.52,False,182.38,-14.46,P+V+,P-V-,P+V+,➡️ 中性,擴散,頭頭高·底底低,多頭確認,🔥 追高風險,301927693,204098881,516125.1,-10157217.0,100788873.0,20511608.0,111143264.0,17338.3,5.0,1.0,3.0,3.0,
1303,1303,南亞,塑膠工業,2026-09-18,238.0,32.22,56.82,179.71,112.11,1.0,1.49,23.96,13,7,88625578,92822317,1.857,0.955,100.0,59.68,True,202.45,10.71,False,250.0,-4.8,P+V-,P+V+,P+V-,⚠️ 量能背離,收斂,頭頭低·底底高,多轉空預警,🔥 追高風險,80647750,64142545,408661.7,-33261215.0,73107512.0,-1081192.0,38765105.0,9226.1,1.0,1.0,1.0,1.0,
2408,2408,南亞科,電子工業,2026-09-18,525.0,4.79,4.29,93.99,49.27,1.0,6.49,-0.57,9,10,75373739,57523455,0.9,1.31,88.69,56.23,True,471.16,14.83,False,569.0,-7.73,P+V-,P+V-,P+V-,⚠️ 量能衰竭,擴散,頭頭高·底底低,,,76407003,47395866,670180.9,15545992.0,-6246713.0,-2929978.0,6369301.0,3343.9,8.0,25.0,16.5,15.0,吃老本
2383,2383,台光電,電子零組件業,2026-09-18,4890.0,-9.53,-15.67,81.94,34.67,0.333,-8.85,-13.52,8,11,1873045,1899569,0.727,0.986,66.51,39.7,False,5242.41,19.39,False,6440.59,-24.08,P-V-,P-V-,P+V-,⚠️ 主升段結束,多頭,頭頭高·底底高,空轉多預警 / 空頭確認,,3392081,1903694,196127.0,584712.0,-3743548.0,355301.0,-2803535.0,-13709.3,9.0,14.0,11.5,14.0,
