ticker,stock_name,supply_chain,as_of_date,chain_point,chain_z_point,chain_state,stock_point,stock_z_in_chain,chain_size,price_lag,early_flag
1802,台玻,CCL / High-Speed Materials,2026-09-24,89.78,2.31,⚠️ Price Leading,2.4,-1.02,4,3.33,
2383,台光電,CCL / High-Speed Materials,2026-09-24,89.78,2.31,⚠️ Price Leading,37.88,-0.61,4,2.92,
3481,群創,Display & Optical,2026-09-24,74.57,1.65,🚀 Confirmed,45.94,-1.1,3,2.75,🎯 EARLY
3661,世芯-KY,AI / HPC Semiconductor,2026-09-24,59.48,0.99,🚀 Confirmed,7.46,-1.01,9,2.0,🎯 EARLY
2308,台達電,Thermal / Liquid Cooling,2026-09-24,49.65,0.57,🚀 Confirmed,20.56,-1.37,4,1.94,🎯 EARLY
6515,穎崴,Advanced Packaging,2026-09-24,42.65,0.26,🚀 Confirmed,-21.24,-1.62,8,1.88,🎯 EARLY
1303,南亞,CCL / High-Speed Materials,2026-09-24,89.78,2.31,⚠️ Price Leading,129.41,0.46,4,1.85,
2330,台積電,AI / HPC Semiconductor,2026-09-24,59.48,0.99,🚀 Confirmed,20.92,-0.75,9,1.74,🎯 EARLY
6789,采鈺,AI / HPC Semiconductor,2026-09-24,59.48,0.99,🚀 Confirmed,22.27,-0.72,9,1.71,🎯 EARLY
3533,嘉澤,PCB / HDI / IC Substrate,2026-09-24,40.38,0.16,🚀 Confirmed,-11.9,-1.46,10,1.62,🎯 EARLY
3034,聯詠,AI / HPC Semiconductor,2026-09-24,59.48,0.99,🚀 Confirmed,28.98,-0.59,9,1.58,🎯 EARLY
2379,瑞昱,AI / HPC Semiconductor,2026-09-24,59.48,0.99,🚀 Confirmed,35.66,-0.46,9,1.45,🎯 EARLY
2409,友達,Display & Optical,2026-09-24,74.57,1.65,🚀 Confirmed,81.32,0.26,3,1.39,
2313,華通,PCB / HDI / IC Substrate,2026-09-24,40.38,0.16,🚀 Confirmed,0.1,-1.13,10,1.29,🎯 EARLY
6531,愛普*,AI / HPC Semiconductor,2026-09-24,59.48,0.99,🚀 Confirmed,48.4,-0.21,9,1.2,🎯 EARLY
2368,金像電,PCB / HDI / IC Substrate,2026-09-24,40.38,0.16,🚀 Confirmed,5.5,-0.98,10,1.14,🎯 EARLY
