日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-07,寶島股價指數,52478.80,+,860.80,1.67,
2026-09-07,發行量加權股價指數,47326.27,+,775.14,1.67,
2026-09-07,臺灣公司治理100指數,29546.53,+,577.11,1.99,
2026-09-07,臺灣50指數,44041.14,+,900.07,2.09,
2026-09-07,臺灣50權重上限30%指數,37366.45,+,766.32,2.09,
2026-09-07,臺灣中型100指數,36376.80,+,158.04,0.44,
2026-09-07,臺灣資訊科技指數,91790.79,+,"2,047.45",2.28,
2026-09-07,臺灣發達指數,18940.41,+,193.94,1.03,
2026-09-07,臺灣高股息指數,15956.48,+,87.13,0.55,
2026-09-07,臺灣就業99指數,30294.94,+,341.00,1.14,
2026-09-07,臺灣高薪100指數,23633.11,+,138.76,0.59,
2026-09-07,未含金融指數,42248.01,+,764.08,1.84,
2026-09-07,未含電子指數,25722.04,+,5.22,0.02,
2026-09-07,未含金融電子指數,16656.74,+,35.44,0.21,
2026-09-07,小型股300指數,13883.41,-,49.13,-0.35,
2026-09-07,水泥窯製類指數,630.93,+,2.01,0.32,
2026-09-07,塑膠化工類指數,1158.69,+,10.57,0.92,
2026-09-07,機電類指數,16526.70,+,327.57,2.02,
2026-09-07,水泥類指數,122.13,-,0.98,-0.80,
2026-09-07,食品類指數,1915.34,-,6.35,-0.33,
2026-09-07,塑膠類指數,387.58,+,7.45,1.96,
2026-09-07,紡織纖維類指數,475.47,-,5.48,-1.14,
2026-09-07,電機機械類指數,556.28,-,1.17,-0.21,
2026-09-07,電器電纜類指數,108.39,-,1.09,-1.00,
2026-09-07,化學生技醫療類指數,169.05,-,0.66,-0.39,
2026-09-07,化學類指數,192.98,-,2.07,-1.06,
2026-09-07,生技醫療類指數,96.43,-,0.10,-0.10,
2026-09-07,玻璃陶瓷類指數,143.14,+,3.38,2.42,
2026-09-07,造紙類指數,278.19,-,4.74,-1.68,
2026-09-07,鋼鐵類指數,120.73,-,0.81,-0.67,
2026-09-07,橡膠類指數,192.29,-,2.45,-1.26,
2026-09-07,汽車類指數,299.24,-,0.35,-0.12,
2026-09-07,電子工業類指數,3003.82,+,60.72,2.06,
2026-09-07,半導體類指數,1594.00,+,45.21,2.92,
2026-09-07,電腦及週邊設備類指數,485.28,-,10.55,-2.13,
2026-09-07,光電類指數,74.93,-,2.56,-3.30,
2026-09-07,通信網路類指數,236.46,-,1.27,-0.53,
2026-09-07,電子零組件類指數,933.44,+,17.07,1.86,
2026-09-07,電子通路類指數,353.64,+,1.34,0.38,
2026-09-07,資訊服務類指數,229.79,-,0.72,-0.31,
2026-09-07,其他電子類指數,280.72,+,3.36,1.21,
2026-09-07,建材營造類指數,462.25,-,1.24,-0.27,
2026-09-07,航運類指數,210.27,-,0.39,-0.19,
2026-09-07,觀光餐旅類指數,102.99,+,0.01,0.01,
2026-09-07,金融保險類指數,3514.37,-,7.99,-0.23,
2026-09-07,貿易百貨類指數,234.74,-,1.62,-0.69,
2026-09-07,油電燃氣類指數,107.31,+,1.98,1.88,
2026-09-07,綠能環保類指數,135.71,+,3.88,2.94,
2026-09-07,數位雲端類指數,39.61,-,0.20,-0.50,
2026-09-07,運動休閒類指數,57.99,-,0.11,-0.19,
2026-09-07,居家生活類指數,98.55,-,2.25,-2.23,
2026-09-07,其他類指數,276.16,-,0.48,-0.17,
2026-09-07,臺指日報酬兩倍指數,234395.61,+,"7,554.43",3.33,
2026-09-07,臺指反向一倍指數,1209.11,-,20.47,-1.66,
2026-09-07,電子類兩倍槓桿指數,385284.51,+,"15,267.86",4.13,
2026-09-07,電子類反向指數,742.41,-,15.64,-2.06,
2026-09-07,臺灣生技指數,4296.31,-,14.87,-0.34,
2026-09-07,臺灣中小型公司治理指數,19430.14,-,20.68,-0.11,
2026-09-07,臺灣IPO指數,9158.25,+,224.38,2.51,
2026-09-07,智慧中立指數,3116.01,-,10.42,-0.33,
2026-09-07,臺灣企業社會責任中小型指數,16064.08,-,19.04,-0.12,
2026-09-07,特選臺灣電動車代表指數,22097.44,-,157.27,-0.71,
2026-09-07,臺灣科技龍頭通訊指數,26064.39,+,589.77,2.32,
2026-09-07,臺灣全市場指數,16379.31,+,271.63,1.69,
2026-09-07,臺灣全市場半導體指數,21014.11,+,809.92,4.01,
2026-09-07,臺灣智慧移動與電動車指數,17915.51,+,286.96,1.63,
2026-09-07,特選小資高價30指數,22809.92,+,556.78,2.50,
2026-09-07,特選臺灣綠能及電動車指數,11932.07,+,127.20,1.08,
2026-09-07,特選臺灣智能車供應鏈聯盟指數,18527.73,+,476.14,2.64,
2026-09-07,臺灣全市場半導體精選30指數,16302.39,+,526.73,3.34,
2026-09-07,特選臺灣高股息30指數,7006.41,-,41.46,-0.59,
2026-09-07,臺灣友善環境指數,13652.61,+,225.32,1.68,
2026-09-07,台灣永續價值指數,13843.38,+,205.44,1.51,
2026-09-07,特選臺灣IC設計指數,7832.35,+,292.77,3.88,
