Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2026-09-15,00400A,主動國泰動能高息,30253882,439135297,14.64,14.68,14.39,14.42,-0.3000,12047
2026-09-15,00401A,主動摩根台灣鑫收,3943004,54451010,13.86,13.90,13.72,13.76,-0.1100,1207
2026-09-15,00402A,主動安聯美國科技,4199319,39581398,9.44,9.45,9.40,9.40,-0.0400,679
2026-09-15,00403A,主動統一升級50,130139135,1302673080,10.04,10.13,9.95,9.95,-0.1400,32441
2026-09-15,00404A,主動聯博動能50,30000271,292577557,9.80,9.82,9.70,9.72,-0.0800,6597
2026-09-15,00405A,主動富邦台灣龍耀,49122906,413322983,8.52,8.56,8.31,8.32,-0.2400,9470
2026-09-15,00406A,主動中信台灣收益,172774482,1611699130,9.37,9.44,9.27,9.28,-0.1100,44028
2026-09-15,00407A,主動凱基台灣,21526541,201279517,9.42,9.47,9.26,9.27,-0.1900,6509
2026-09-15,00408A,主動第一金優股息,545154,5533679,10.20,10.24,10.10,10.11,-0.1100,341
2026-09-15,00409A,主動復華全球50,9957771,94931367,9.53,9.58,9.47,9.49,-0.0400,3274
2026-09-15,00410A,主動永豐科技趨勢,4935015,56834101,11.60,11.67,11.42,11.42,-0.2600,1386
2026-09-15,0050,元大台灣50,63373313,6750982162,106.75,106.95,106.15,106.25,-0.6500,139485
2026-09-15,0051,元大中型100,120538,17107298,142.95,143.05,141.00,141.00,-2.4500,633
2026-09-15,0052,富邦科技,10671485,658972018,61.70,62.10,61.50,61.60,-0.3000,14062
2026-09-15,0053,元大電子,281948,67343867,237.55,239.55,237.35,237.35,-1.6000,3001
2026-09-15,0055,元大MSCI金融,1206727,60198495,50.60,50.65,49.61,49.76,-0.5400,4393
2026-09-15,0056,元大高股息,25385973,1396603917,55.20,55.25,54.85,55.00,-0.4000,34717
2026-09-15,0057,富邦摩台,15926,5095608,318.35,319.60,317.50,317.50,-0.8500,1165
2026-09-15,0061,元大寶滬深,64399,1538109,23.77,23.99,23.77,23.91,-0.0400,164
2026-09-15,006203,元大MSCI台灣,25871,5032700,194.55,194.55,192.95,192.95,-1.6500,1231
2026-09-15,006204,永豐臺灣加權,25179,5744629,229.00,229.00,228.00,228.00,-2.1000,109
2026-09-15,006205,富邦上証,74924,2991179,39.90,40.01,39.80,39.87,0.0500,186
2026-09-15,006206,元大上證50,27531,1023043,37.25,37.30,37.02,37.24,0.0500,112
2026-09-15,006207,復華滬深,105315,3350827,31.82,31.82,31.73,31.73,0.0100,119
2026-09-15,006208,富邦台50,1901072,463956809,244.40,245.00,243.20,243.50,-1.1500,14245
2026-09-15,00625K,富邦上証+R,,,,,,,0.0000,
2026-09-15,00631L,元大台灣50正2,100717095,3556021324,35.40,35.59,35.06,35.09,-0.3100,37592
2026-09-15,00632R,元大台灣50反1,89060360,890517872,9.98,10.03,9.95,10.03,0.0600,6516
2026-09-15,00633L,富邦上証正2,4042976,189123818,47.00,47.30,46.45,46.57,-0.4300,401
2026-09-15,00634R,富邦上証反1,209000,661110,3.17,3.19,3.16,3.18,0.0200,18
2026-09-15,00635U,期元大S&P黃金,1432851,63649989,44.33,44.57,44.30,44.40,-0.2400,1876
2026-09-15,00636,國泰中國A50,164587,4465894,27.22,27.25,27.02,27.03,-0.1500,184
2026-09-15,00636K,國泰中國A50+U,200,1710,8.55,8.55,8.55,8.55,-0.0500,2
2026-09-15,00637L,元大滬深300正2,22168646,429543575,19.45,19.51,19.21,19.26,-0.0900,1422
2026-09-15,00638R,元大滬深300反1,41000,278030,6.77,6.80,6.77,6.80,0.0600,17
2026-09-15,00639,富邦深100,584185,9268362,15.89,15.97,15.78,15.80,-0.0600,233
2026-09-15,00640L,富邦日本正2,78537,8220676,105.10,105.40,103.60,104.35,-0.4500,66
