代號,公司,板塊,子產業,最近連續正成長季數,近20季正成長季數,最近連續負成長季數,可比季數,最新季YoY%,最新季,TTM營收(十億)
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",20,20,0,20,16.54,2026-06-30,13.16
ADBE,Adobe Inc.,Information Technology,Application Software,20,20,0,20,12.89,2026-08-28,25.97
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,20,20,0,20,6.77,2026-06-30,21.95
ADSK,Autodesk,Information Technology,Application Software,20,20,0,20,16.05,2026-07-31,7.79
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,20,20,0,20,5.38,2026-06-30,4.32
AMZN,Amazon,Consumer Discretionary,Broadline Retail,20,20,0,20,19.62,2026-06-30,775.68
ANET,Arista Networks,Information Technology,Communications Equipment,20,20,0,20,37.69,2026-06-30,10.54
ARES,Ares Management,Financials,Asset Management & Custody Banks,20,20,0,20,24.29,2026-06-30,5.3
AVGO,Broadcom,Information Technology,Semiconductors,20,20,0,20,85.5,2026-08-02,89.1
AXP,American Express,Financials,Consumer Finance,20,20,0,20,9.97,2026-06-30,75.95
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",20,20,0,20,8.15,2026-06-30,28.24
BRO,Brown & Brown,Financials,Insurance Brokers,20,20,0,20,30.43,2026-06-30,6.79
BSX,Boston Scientific,Health Care,Health Care Equipment,20,20,0,20,7.53,2026-06-30,21.0
BXP,"BXP, Inc.",Real Estate,Office REITs,20,20,0,20,3.14,2026-06-30,3.52
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",20,20,0,20,5.29,2026-05-31,27.31
CI,Cigna,Health Care,Health Care Services,20,20,0,20,6.68,2026-06-30,282.38
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,20,20,0,20,9.31,2026-06-30,12.42
CNC,Centene Corporation,Health Care,Managed Health Care,20,20,0,20,9.92,2026-06-30,202.94
COF,Capital One,Financials,Consumer Finance,20,20,0,20,26.88,2026-06-30,62.02
COO,Cooper Companies (The),Health Care,Health Care Supplies,20,20,0,20,0.56,2026-07-31,4.24
COR,Cencora,Health Care,Health Care Distributors,20,20,0,20,5.07,2026-06-30,332.77
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,20,20,0,20,11.58,2026-05-10,270.64
CPAY,Corpay,Financials,Transaction & Payment Processing Services,20,20,0,20,21.49,2026-06-30,5.02
CRM,Salesforce,Information Technology,Application Software,20,20,0,20,10.83,2026-07-31,43.94
