股票代號,公司名稱,市場,產業,最近連續正成長月數,36個月內正成長月數,最近連續負成長月數,有效月數,最新月YoY%,當月營收(億)
2383,台光電,上市,電子零組件業,36,36,0,36,129.84,201.46
2432,倚天酷碁-創,上市,電腦及週邊設備業,36,36,0,36,80.44,4.44
2441,超豐,上市,半導體業,36,36,0,36,41.98,20.43
2453,凌群,上市,資訊服務業,36,36,0,36,10.05,6.23
2755,揚秦,—,—,36,36,0,36,15.21,
2947,振宇五金,—,—,36,36,0,36,1.75,
3017,奇鋐,上市,電腦及週邊設備業,36,36,0,36,54.34,194.81
3293,鈊象,—,—,36,36,0,36,24.8,
4129,聯合,—,—,36,36,0,36,7.5,
4760,勤凱科技,—,—,36,36,0,36,91.53,
4953,緯致,—,—,36,36,0,36,26.64,
6223,旺矽,—,—,36,36,0,36,69.87,
6446,藥華藥,上市,生技醫療業,36,36,0,36,105.42,26.17
6449,鈺邦,上市,電子零組件業,36,36,0,36,21.16,4.64
6690,安碁資訊,—,—,36,36,0,36,8.2,
6712,長聖,—,—,36,36,0,36,21.1,
6791,虎門科技,—,—,36,36,0,36,2.59,
6805,富世達,上市,電子零組件業,36,36,0,36,29.13,15.28
6914,阜爾運通,上市,其他,36,36,0,36,7.03,5.33
6931,青松健康,上市,生技醫療業,36,36,0,36,19.0,1.12
6951,青新-創,上市,綠能環保,36,36,0,36,2.51,0.81
6955,邦睿生技-創,上市,生技醫療業,36,36,0,36,21.39,0.31
6968,萬達寵物,—,—,36,36,0,36,10.45,
7722,LINEPAY,上市,數位雲端,36,36,0,36,8.65,7.56
8462,柏文,上市,運動休閒,36,36,0,36,16.74,6.22
3167,大量,上市,電機機械,35,35,0,36,152.97,12.2
5607,遠雄港,上市,航運業,34,34,0,36,33.49,4.86
2059,川湖,上市,電子零組件業,33,33,0,36,344.41,64.66
5314,世紀*,—,—,33,33,0,33,102.52,
6257,矽格,上市,半導體業,33,33,0,36,28.58,20.69
2330,台積電,上市,半導體業,32,33,0,36,53.32,5148.05
2357,華碩,上市,電腦及週邊設備業,32,33,0,36,51.16,949.56
2368,金像電,上市,電子零組件業,32,33,0,36,76.38,103.84
2449,京元電子,上市,半導體業,32,32,0,36,31.57,40.8
3551,世禾,—,—,32,32,0,36,21.97,
5274,信驊,—,—,32,32,0,36,118.41,
6683,雍智科技,—,—,32,32,0,36,25.73,
7738,東聯互動,—,—,32,32,0,32,15.28,
8021,尖點,上市,其他電子業,32,32,0,36,97.75,7.71
2382,廣達,上市,電腦及週邊設備業,31,31,0,36,177.45,4239.71
3037,欣興,上市,電子零組件業,31,31,0,36,56.25,177.46
3090,日電貿,上市,電子零組件業,30,35,0,36,38.44,19.13
6274,台燿,—,—,30,35,0,36,132.48,
2345,智邦,上市,通信網路業,30,33,0,36,59.42,408.73
8155,博智,—,—,30,33,0,36,35.13,
1316,上曜,上市,建材營造,30,32,0,36,93.04,6.9
6739,竹陞科技,—,—,30,32,0,36,96.72,
2317,鴻海,上市,其他電子業,30,31,0,36,51.97,9217.66
6134,萬旭,—,—,30,30,0,36,21.72,
2363,矽統,上市,半導體業,29,33,0,36,81.06,5.12
2402,毅嘉,上市,電子零組件業,29,33,0,36,16.41,11.13
6530,創威,—,—,29,32,0,36,10.67,
1560,中砂,上市,電機機械,29,31,0,36,30.37,8.99
3231,緯創,上市,電腦及週邊設備業,29,31,0,36,166.48,4600.65
5289,宜鼎,—,—,29,31,0,36,576.29,
6669,緯穎,上市,電腦及週邊設備業,29,31,0,36,50.35,1443.12
2308,台達電,上市,電子零組件業,29,30,0,36,34.94,645.86
2421,建準,上市,電子零組件業,29,30,0,36,26.03,19.74
3305,昇貿,上市,其他電子業,29,30,0,36,47.4,13.88
5536,聖暉*,—,—,29,30,0,36,44.54,
1815,富喬,—,—,29,29,0,36,79.2,
3413,京鼎,上市,半導體業,29,29,0,36,23.54,22.49
7744,崴寶,—,—,29,29,0,29,86.43,
6902,GOGOLOOK,上市,數位雲端,28,34,0,36,29.54,1.12
6870,騰雲,—,—,28,33,0,36,34.13,
2471,資通,上市,資訊服務業,28,31,0,36,7.16,0.85
3432,台端,上市,電子零組件業,28,31,0,36,86.54,0.3
3290,東浦,—,—,28,30,0,36,79.79,
6944,兆聯實業,上市,綠能環保,28,30,0,36,37.21,19.86
1213,大飲,上市,食品工業,28,28,0,36,17.12,0.4
6693,廣閎科,—,—,27,29,0,36,114.19,
6548,長科*,—,—,27,28,0,36,43.65,
6217,中探針,—,—,26,29,0,36,22.99,
8032,光菱,—,—,26,28,0,36,43.62,
7769,鴻勁,上市,半導體業,26,26,0,26,91.58,52.19
8028,昇陽半導體,上市,半導體業,26,26,0,36,25.56,5.05
3004,豐達科,上市,鋼鐵工業,24,35,0,36,62.29,5.26
3563,牧德,上市,光電業,24,24,0,36,35.67,3.61
7740,熙特爾-創,上市,綠能環保,24,24,0,24,869.63,5.74
5475,德宏,—,—,23,26,0,36,271.87,
6209,今國光,上市,光電業,23,25,0,36,106.76,5.57
2301,光寶科,上市,電腦及週邊設備業,23,24,0,36,25.2,195.92
2395,研華,上市,電腦及週邊設備業,23,24,0,36,87.51,104.19
6894,衛司特,—,—,22,32,0,36,67.83,
6165,浪凡,上市,數位雲端,22,30,0,36,5.85,2.86
5234,達興材料,上市,光電業,22,27,0,36,18.52,4.53
5439,高技,—,—,22,27,0,36,5.23,
3528,安馳,上市,電子通路業,22,22,0,36,43.13,12.04
6138,茂達,—,—,21,34,0,36,2.49,
3189,景碩,上市,半導體業,21,30,0,36,40.57,48.1
6435,大中,—,—,21,29,0,36,25.82,
8358,金居,—,—,21,29,0,36,59.7,
4576,大銀微系統,上市,電機機械,21,26,0,36,98.04,4.27
5469,瀚宇博,上市,電子零組件業,21,24,0,36,26.4,65.43
2027,大成鋼,上市,鋼鐵工業,21,21,0,36,46.09,123.86
7820,立盈,—,—,21,21,0,21,20.98,
8046,南電,上市,電子零組件業,21,21,0,36,40.59,53.53
3265,台星科,—,—,20,34,0,36,3.36,
3030,德律,上市,其他電子業,20,32,0,36,31.88,9.97
8210,勤誠,上市,電腦及週邊設備業,20,32,0,36,40.54,24.57
3081,聯亞,—,—,20,29,0,36,180.9,
3219,倚強科,—,—,20,27,0,36,19.72,
3587,閎康,—,—,19,35,0,36,17.78,
4772,台特化,—,—,19,35,0,36,18.88,
1785,光洋科,—,—,19,34,0,36,30.7,
7750,新代,上市,電機機械,19,34,0,36,151.06,24.37
2884,玉山金,上市,金融保險業,19,33,0,36,19.28,98.39
3135,凌航,上市,半導體業,19,33,0,36,237.78,18.27
5278,尚凡*,—,—,19,33,0,36,25.25,
2436,偉詮電,上市,半導體業,19,32,0,36,32.14,4.29
3044,健鼎,上市,電子零組件業,19,32,0,36,65.47,102.24
4771,望隼,上市,生技醫療業,19,32,0,36,70.63,4.37
6584,南俊國際,—,—,19,32,0,36,37.66,
8284,三竹,—,—,19,31,0,36,21.73,
3372,典範,—,—,19,30,0,36,30.1,
4923,力士,—,—,19,29,0,36,28.77,
9925,新保,上市,其他,19,29,0,36,6.56,7.25
7713,威力德生醫,—,—,19,28,0,35,14.8,
8271,宇瞻,上市,半導體業,19,28,0,36,177.1,27.89
2329,華泰,上市,半導體業,19,27,0,36,4.76,17.68
3171,炎洲流通,—,—,19,27,0,36,13.46,
5498,凱崴,—,—,19,27,0,36,87.52,
8070,長華*,上市,電子通路業,19,27,0,36,37.57,22.33
8996,高力,上市,電機機械,19,27,0,36,112.83,12.04
1714,和桐,上市,化學工業,19,26,0,36,56.1,30.47
6426,統新,上市,通信網路業,19,26,0,36,78.2,0.73
2451,創見,上市,半導體業,19,25,0,36,275.46,48.37
7751,竑騰,—,—,19,25,0,28,41.32,
6579,研揚,上市,電腦及週邊設備業,19,22,0,36,26.58,9.85
7780,大研生醫*,上市,食品工業,19,22,0,23,38.13,2.03
4127,天良,—,—,19,21,0,36,40.83,
8088,品安,—,—,19,20,0,36,72.93,
2912,統一超,上市,貿易百貨,18,35,0,36,4.81,315.27
5903,全家,—,—,18,35,0,36,3.33,
2751,王座,—,—,18,34,0,36,4.76,
7708,全家餐飲,—,—,18,33,0,36,11.37,
6830,汎銓,上市,其他電子業,18,32,0,36,31.95,2.54
5211,蒙恬,—,—,18,28,0,36,29.2,
7786,東方風能,上市,綠能環保,18,20,0,23,8.57,15.63
7822,倍利科,上市,半導體業,18,18,0,18,74.62,3.02
2890,永豐金,上市,金融保險業,17,34,0,36,49.48,100.51
2374,佳能,上市,光電業,17,32,0,36,34.7,13.13
3260,威剛,—,—,17,30,0,36,279.8,
8299,群聯,—,—,17,29,0,36,376.51,
2892,第一金,上市,金融保險業,17,28,0,36,13.89,75.82
2404,漢唐,上市,其他電子業,17,20,0,36,59.05,93.92
5604,中連,—,—,17,20,0,36,4.06,
4739,康普,上市,化學工業,17,19,0,36,34.39,8.72
1419,新紡,上市,紡織纖維,16,31,0,36,5.94,5.1
3028,增你強,上市,電子通路業,16,31,0,36,87.95,67.33
3555,博士旺,—,—,16,30,0,36,46.14,
6588,東典光電,—,—,16,25,0,36,189.01,
6291,沛亨,—,—,16,23,0,36,33.42,
2369,菱生,上市,半導體業,16,22,0,36,32.89,6.42
7842,天能綠電,—,—,16,16,0,16,71.54,
6197,佳必琪,上市,電子零組件業,15,34,0,36,25.34,8.42
2880,華南金,上市,金融保險業,15,32,0,36,11.94,71.09
2360,致茂,上市,其他電子業,15,31,0,36,156.29,56.32
6861,睿生光電,上市,生技醫療業,15,30,0,36,52.47,2.84
1788,杏昌,—,—,15,29,0,36,8.94,
3406,玉晶光,上市,光電業,15,28,0,36,0.72,27.19
8091,翔名,—,—,15,28,0,36,71.52,
6491,晶碩,上市,生技醫療業,15,26,0,36,18.87,7.5
6770,力積電,上市,半導體業,15,26,0,36,76.19,70.09
2408,南亞科,上市,半導體業,15,25,0,36,560.85,446.9
2734,易飛網,—,—,15,23,0,36,53.64,
6199,天品,—,—,15,22,0,36,171.69,
6265,方土昶,—,—,15,22,0,36,465.94,
6903,巨漢,—,—,15,21,0,36,122.7,
6997,博弘,—,—,15,19,0,36,25.48,
4904,遠傳,上市,通信網路業,14,34,0,36,15.65,95.47
2812,台中銀,上市,金融保險業,14,32,0,36,1.76,19.75
6111,光聚晶電,—,—,14,32,0,36,6.31,
3324,雙鴻,—,—,14,31,0,36,67.17,
8936,國統,—,—,14,31,0,36,12.34,
2467,志聖,上市,電子零組件業,14,30,0,36,60.72,8.66
2889,國票金,上市,金融保險業,14,29,0,36,51.89,13.57
2455,全新,上市,通信網路業,14,27,0,36,71.15,4.71
7610,聯友金屬-創,上市,綠能環保,14,26,0,36,852.63,11.34
6542,隆中,—,—,14,25,0,36,8.9,
8131,福懋科,上市,半導體業,14,25,0,36,29.24,11.35
5484,慧友,上市,光電業,14,24,0,36,12.93,0.48
6239,力成,上市,半導體業,14,24,0,36,24.45,85.58
2732,六角,—,—,14,21,0,36,15.26,
5388,中磊,上市,通信網路業,14,18,0,36,45.05,70.44
2485,兆赫,上市,通信網路業,14,14,0,36,38.41,2.49
3707,漢磊,—,—,14,14,0,36,29.54,
3036,文曄,上市,電子通路業,13,32,0,36,98.21,1983.84
6005,群益證,上市,金融保險業,13,32,0,36,45.34,30.31
1416,廣豐,上市,其他,13,31,0,36,45.99,0.45
6213,聯茂,上市,電子零組件業,13,30,0,36,97.92,50.44
8438,昶昕,上市,綠能環保,13,30,0,36,44.48,4.83
2327,國巨*,上市,電子零組件業,13,29,0,36,51.79,163.32
2476,鉅祥,上市,電子零組件業,13,29,0,36,41.04,9.51
2885,元大金,上市,金融保險業,13,29,0,36,57.94,195.86
3711,日月光投控,上市,半導體業,13,28,0,36,45.65,822.47
8042,金山電,—,—,13,28,0,36,38.75,
2344,華邦電,上市,半導體業,13,26,0,36,289.42,273.09
2543,皇昌,上市,建材營造,13,26,0,36,51.5,16.02
5351,鈺創,—,—,13,25,0,36,525.31,
6967,汎瑋材料,—,—,13,25,0,36,1.12,
8068,全達,—,—,13,25,0,36,76.73,
6139,亞翔,上市,其他電子業,13,24,0,36,41.68,110.19
6952,大武山,上市,其他,13,24,0,36,17.09,2.19
6210,慶生,—,—,13,23,0,36,14.58,
3443,創意,上市,半導體業,13,21,0,36,111.02,58.4
7788,松川精密,上市,電子零組件業,13,21,0,23,66.4,8.72
3264,欣銓,—,—,13,17,0,36,46.57,
3629,地心引力,—,—,13,15,0,34,381.0,
1736,喬山,上市,運動休閒,12,35,0,36,22.65,48.4
5340,建榮,—,—,12,35,0,36,47.77,
2376,技嘉,上市,電腦及週邊設備業,12,34,0,36,98.42,474.01
3715,定穎投控,上市,電子零組件業,12,34,0,36,83.96,29.32
1731,美吾華,上市,生技醫療業,12,33,0,36,17.95,1.33
3533,嘉澤,上市,電子零組件業,12,30,0,36,19.58,31.98
6531,愛普*,上市,半導體業,12,30,0,36,150.82,10.31
8016,矽創,上市,半導體業,12,30,0,36,23.69,19.08
8927,北基,—,—,12,30,0,36,20.77,
2801,彰銀,上市,金融保險業,12,28,0,36,21.13,46.06
3006,晶豪科,上市,半導體業,12,27,0,36,605.24,79.05
3374,精材,—,—,12,27,0,36,36.74,
8150,南茂,上市,半導體業,12,27,0,36,33.26,27.86
3564,其陽,—,—,12,25,0,36,47.82,
6126,信音,—,—,12,25,0,36,57.25,
8086,宏捷科,—,—,12,25,0,36,12.55,
1342,八貫,上市,其他,12,24,0,36,62.82,3.07
1597,直得,上市,電機機械,12,24,0,36,45.23,1.33
2337,旺宏,上市,半導體業,12,24,0,36,218.53,81.45
3105,穩懋,—,—,12,24,0,36,30.55,
1593,祺驊,—,—,12,23,0,36,21.9,
8043,蜜望實,—,—,12,23,0,36,54.47,
2241,艾姆勒,上市,汽車工業,12,22,0,36,47.33,0.87
4768,晶呈科技,—,—,12,22,0,36,93.11,
4916,事欣科,上市,電腦及週邊設備業,12,22,0,36,82.95,5.53
6494,九齊,—,—,12,20,0,36,36.33,
6292,迅德,—,—,12,15,0,36,30.69,
3702,大聯大,上市,電子通路業,11,34,0,36,80.45,1422.38
6788,華景電,—,—,11,30,0,36,20.38,
2305,全友,上市,電腦及週邊設備業,11,28,0,36,239.98,1.81
2460,建通,上市,電子零組件業,11,28,0,36,75.64,4.38
5386,青雲,—,—,11,28,0,36,1846.2,
8112,至上,上市,電子通路業,11,28,0,36,154.83,407.41
3491,昇達科,—,—,11,27,0,36,93.18,
2606,裕民,上市,航運業,11,26,0,36,18.15,17.32
5344,立衛,—,—,11,26,0,36,8.81,
3530,晶相光,上市,半導體業,11,25,0,36,14.04,1.78
5511,德昌,—,—,11,25,0,36,2.58,
6516,勤崴國際,—,—,11,25,0,36,15.2,
2347,聯強,上市,電子通路業,11,24,0,36,122.01,742.15
6282,康舒,上市,電子零組件業,11,24,0,36,38.47,37.09
6703,軒郁,—,—,11,24,0,36,1.83,
8489,三貝德,—,—,11,24,0,36,32.55,
2849,安泰銀,上市,金融保險業,11,23,0,36,18.89,5.5
2897,王道銀行,上市,金融保險業,11,23,0,36,7.88,11.41
7631,聚賢研發-創,上市,其他電子業,11,23,0,36,132.46,1.58
2406,國碩,上市,光電業,11,22,0,36,86.1,9.71
3691,碩禾,—,—,11,22,0,36,75.83,
5478,智冠,—,—,11,22,0,36,7.8,
6465,威潤,—,—,11,21,0,36,128.67,
9940,信義,上市,其他,11,18,0,36,26.24,9.64
6129,普誠,—,—,11,15,0,36,43.6,
6146,耕興,—,—,11,14,0,36,10.46,
3016,嘉晶,上市,半導體業,11,13,0,36,57.78,5.07
9911,櫻花,上市,居家生活,10,35,0,36,6.78,8.69
2472,立隆電,上市,電子零組件業,10,30,0,36,51.18,13.11
4714,永捷,—,—,10,30,0,36,42.94,
2945,三商家購,上市,貿易百貨,10,28,0,36,35.28,17.96
3588,通嘉,上市,半導體業,10,28,0,36,39.76,1.56
5434,崇越,上市,電子通路業,10,28,0,36,36.33,77.92
6414,樺漢,上市,電腦及週邊設備業,10,27,0,36,43.05,154.86
2425,承啟,上市,電腦及週邊設備業,10,26,0,36,118.45,19.83
3416,融程電,上市,電腦及週邊設備業,10,26,0,36,16.65,4.06
2303,聯電,上市,半導體業,10,25,0,36,30.71,250.45
3402,漢科,—,—,10,25,0,36,32.84,
4952,凌通,上市,半導體業,10,24,0,36,44.88,2.25
6147,頎邦,—,—,10,24,0,36,43.61,
6417,韋僑,—,—,10,24,0,36,34.27,
6664,群翊,—,—,10,24,0,36,32.27,
3689,湧德,—,—,10,22,0,36,62.06,
4551,智伸科,上市,汽車工業,10,22,0,36,33.5,8.02
7805,威聯通,—,—,10,22,0,33,19.25,
8110,華東,上市,半導體業,10,21,0,36,24.84,7.98
