代號,名稱,產業,相位,動能pp,品質,價量階,近3月均YoY,前3月均YoY,近3月營收(億),前3月營收(億),環比%,基期變化%,基期效應,近12月正成長,近12月標準差,今年累計YoY,最新月YoY,連續正成長月,收盤,4w%,13w%,26w%,量比,4週成交金額(億)
2849,安泰銀,金融保險業,4,3.44,2,3,20.8,17.4,17.19,16.51,4.1,1.1,,11,8.2,19.5,18.89,11,15.65,9.1,6.1,19.9,0.91,0.8
2836,高雄銀,金融保險業,3,10.75,2,2,14.5,3.7,15.64,12.35,26.7,14.1,,10,12.1,11.3,-1.54,0,12.15,1.2,-0.7,0.5,0.6,4.3
2801,彰銀,金融保險業,3,-6.44,3,4,12.6,19.0,142.09,130.03,9.3,15.7,★ 是,12,7.6,14.3,21.13,12,27.75,12.3,21.0,37.1,1.16,175.6
2884,玉山金,金融保險業,3,-11.14,3,3,16.4,27.6,279.64,277.47,0.8,10.1,★ 是,12,16.8,21.3,19.28,19,45.6,18.3,28.6,41.0,0.85,423.5
2845,遠東銀,金融保險業,3,-11.87,2,3,10.2,22.1,37.34,35.62,4.8,16.0,★ 是,11,9.3,14.0,5.06,10,13.3,0.1,2.7,7.7,0.69,40.4
2897,王道銀行,金融保險業,3,-22.73,2,4,13.1,35.8,34.74,30.61,13.5,36.2,★ 是,11,19.0,25.1,7.88,11,11.05,6.8,4.2,11.2,1.18,13.8
2890,永豐金,金融保險業,3,-23.01,3,3,50.6,73.6,296.88,278.52,6.6,22.6,★ 是,12,22.1,53.9,49.48,17,45.15,14.7,15.3,46.0,0.84,239.2
2892,第一金,金融保險業,3,-24.04,3,3,8.7,32.7,225.79,209.72,7.7,25.4,★ 是,12,11.6,18.0,13.89,17,39.5,18.4,20.2,37.9,0.7,260.2
2886,兆豐金,金融保險業,3,-28.36,2,3,7.1,35.4,245.36,235.81,4.1,31.5,★ 是,11,16.2,16.6,15.55,6,49.6,7.5,6.3,26.9,0.72,272.6
2812,台中銀,金融保險業,3,-28.86,3,2,6.6,35.5,57.42,61.12,-6.0,18.6,,12,17.5,16.7,1.76,14,19.0,0.8,1.1,-2.1,0.99,68.7
